CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue,VALUE
Subalpine Douglas-fir Forest,2227.000000,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000,51.000000,0.000000,0.000000,0.200000,0.000000,3233
Mesic Montane Douglas-fir Forest,2227.000000,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000,51.000000,0.000000,0.000000,0.200000,0.000000,3234
Xeric Montane Douglas-fir Forest,2227.000000,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000,51.000000,0.000000,0.000000,0.200000,0.000000,3235
Subalpine Western Larch Forest,2228.000000,Tr Larix occidentalis Forest Alliance,Tree,644,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,Tree-dominated,Open tree canopy,Deciduous open tree canopy,180.000000,255.000000,148.000000,0.705882,1.000000,0.580392,3236
Mesic Montane Western Larch Forest,2228.000000,Tr Larix occidentalis Forest Alliance,Tree,644,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,Tree-dominated,Open tree canopy,Deciduous open tree canopy,180.000000,255.000000,148.000000,0.705882,1.000000,0.580392,3237
Laurentian-Acadian Northern Oak Forest,2238.000000,Tr Laurentian-Acadian Northern Oak Forest,Tree,665,Hardwood,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,174.000000,245.000000,224.000000,0.682353,0.960784,0.878431,3238
Laurentian-Acadian Northern Pine-Oak Forest,2239.000000,Tr Laurentian-Acadian Northern Pine-Oak Forest,Tree,665,Conifer-Hardwood,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,174.000000,245.000000,224.000000,0.682353,0.960784,0.878431,3239
Laurentian-Acadian Hardwood Forest,2240.000000,Tr Laurentian-Acadian Hardwood Forest,Tree,685,Hardwood,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0.000000,92.000000,0.000000,0.000000,0.360784,0.000000,3240
Laurentian-Acadian Pine-Hemlock-Hardwood Forest,2241.000000,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Tree,685,Conifer-Hardwood,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0.000000,92.000000,0.000000,0.000000,0.360784,0.000000,3241
Laurentian Oak Barrens,2242.000000,Tr Laurentian Oak Barrens,Tree,676,Hardwood,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Deciduous closed tree canopy,174.000000,245.000000,224.000000,0.682353,0.960784,0.878431,3242
Laurentian Pine-Oak Barrens,2243.000000,Tr Laurentian Pine-Oak Barrens,Tree,676,Conifer-Hardwood,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,174.000000,245.000000,224.000000,0.682353,0.960784,0.878431,3243
Boreal Hardwood Forest,2244.000000,Tr Boreal Hardwood Forest,Tree,693,Hardwood,Spruce-Fir-Hardwood Forest,SAF 5: Balsam Fir,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,182.000000,250.000000,227.000000,0.713725,0.980392,0.890196,3244
Boreal White Spruce-Fir-Hardwood Forest,2245.000000,Tr Boreal White Spruce-Fir-Hardwood Forest,Tree,693,Conifer-Hardwood,Spruce-Fir-Hardwood Forest,SAF 5: Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,182.000000,250.000000,227.000000,0.713725,0.980392,0.890196,3245
Southern Appalachian Grass Bald,2414.000000,Sh Southern Appalachian Grass and Shrub Bald,Herb,670,Conifer-Hardwood,Glades and Barrens,LF 55: Appalachian Grass and Shrub Balds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,82.000000,52.000000,34.000000,0.321569,0.203922,0.133333,3247
Northern Atlantic Coastal Plain Dune and Swale Grassland,2436.000000,Sh Northern Atlantic Coastal Plain Dune and Swale,Herb,654,Grassland,Atlantic Dunes and Grasslands,LF 57: Dunes and Maritime Grasslands,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,98.000000,41.000000,1.000000,0.384314,0.160784,3248
Atlantic Coastal Plain Peatland Pocosin and Canebrake Shrubland,2452.000000,Tr Atlantic Coastal Plain Peatland Pocosin and Canebrake,Shrub,687,Shrubland,Pocosin,LF 48: Pocosin,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,91.000000,195.000000,199.000000,0.356863,0.764706,0.780392,3249
Inter-Mountain Basins Curl-leaf Mountain Mahogany Shrubland,2062.000000,Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrub,628,Shrubland,Mountain Mahogany Woodland and Shrubland,SRM 415: Curlleaf Mountain-Mahogany,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,155.000000,235.000000,216.000000,0.607843,0.921569,0.847059,3250
Rocky Mountain Montane Riparian Shrubland,2159.000000,Tr Rocky Mountain Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,73.000000,171.000000,186.000000,0.286275,0.670588,0.729412,3251
Rocky Mountain Subalpine/Upper Montane Riparian Shrubland,2160.000000,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,184.000000,96.000000,24.000000,0.721569,0.376471,0.094118,3252
Western Great Plains Floodplain Shrubland,2162.000000,Tr Western Great Plains Floodplain Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,6.000000,53.000000,122.000000,0.023529,0.207843,0.478431,3253
Western Great Plains Floodplain Herbaceous,2162.000000,Tr Western Great Plains Floodplain Systems,Herb,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Perennial graminoid grassland,6.000000,53.000000,122.000000,0.023529,0.207843,0.478431,3254
Inter-Mountain Basins Montane Riparian Shrubland,2154.000000,Tr Inter-Mountain Basins Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,73.000000,171.000000,186.000000,0.286275,0.670588,0.729412,3255
Apacherian-Chihuahuan Semi-Desert Grassland,2121.000000,Sh Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Herb,618,Grassland,Grassland and Steppe,SRM 505: Grama-Tobosa Shrub,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid grassland,255.000000,204.000000,51.000000,1.000000,0.800000,0.200000,3256
California Central Valley Riparian Herbaceous,2151.000000,Tr California Central Valley Riparian Woodland and Shrubland,Herb,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Perennial graminoid grassland,81.000000,180.000000,141.000000,0.317647,0.705882,0.552941,3257
North American Warm Desert Riparian Herbaceous,2155.000000,Tr North American Warm Desert Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,81.000000,180.000000,141.000000,0.317647,0.705882,0.552941,3258
Introduced Riparian Shrubland,2180.000000,Tr Introduced Riparian Vegetation,Shrub,701,Exotic Tree-Shrub,Introduced Riparian Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255.000000,105.000000,46.000000,1.000000,0.411765,0.180392,3259
Mediterranean California Lower Montane Black Oak Forest and Woodland,2260.000000,Tr Mediterranean California Lower Montane Black Oak Forest and Woodland,Tree,610,Hardwood,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Deciduous closed tree canopy,0.000000,189.000000,0.000000,0.000000,0.741176,0.000000,3260
Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland,2261.000000,Tr Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous closed tree canopy,0.000000,189.000000,0.000000,0.000000,0.741176,0.000000,3261
East Cascades Oak Forest and Woodland,2262.000000,Tr East Cascades Oak Forest and Woodland,Tree,610,Hardwood,Conifer-Oak Forest and Woodland,SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Deciduous closed tree canopy,214.000000,255.000000,181.000000,0.839216,1.000000,0.709804,3262
East Cascades Oak - Ponderosa Pine Forest and Woodland,2263.000000,Tr East Cascades Oak - Ponderosa Pine Forest and Woodland,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous closed tree canopy,214.000000,255.000000,181.000000,0.839216,1.000000,0.709804,3263
California Lower Montane Blue Oak Forest and Woodland,2264.000000,Tr California Lower Montane Blue Oak Forest and Woodland,Tree,610,Hardwood,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Sparse tree canopy,Deciduous closed tree canopy,121.000000,217.000000,207.000000,0.474510,0.850980,0.811765,3264
California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,2265.000000,Tr California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,121.000000,217.000000,207.000000,0.474510,0.850980,0.811765,3265
Oregon White Oak Woodland,2266.000000,Tr Oregon White Oak Woodland,Tree,610,Hardwood,Conifer-Oak Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Open tree canopy,Deciduous closed tree canopy,0.000000,130.000000,0.000000,0.000000,0.509804,0.000000,3266
Douglas-fir - Oregon White Oak Woodland,2267.000000,Tr Douglas-fir - Oregon White Oak Woodland,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous closed tree canopy,0.000000,130.000000,0.000000,0.000000,0.509804,0.000000,3267
Eastern Great Plains Tallgrass Aspen Shrubland,2331.000000,Tr Eastern Great Plains Tallgrass Aspen Parkland,Shrub,602,Shrubland,"Aspen Forest, Woodland, and Parkland",SRM 16: Aspen,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,192.000000,255.000000,138.000000,0.752941,1.000000,0.541176,3268
Laurentian Shrubland Barrens,2407.000000,Tr Laurentian Pine Barrens,Shrub,676,Shrubland,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,174.000000,245.000000,224.000000,0.682353,0.960784,0.878431,3269
North-Central Interior Sand and Gravel Shrubland,2412.000000,Sh North-Central Interior Sand and Gravel Tallgrass Prairie,Shrub,649,Shrubland,Tallgrass Prairie,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous shrubland,255.000000,137.000000,64.000000,1.000000,0.537255,0.250980,3270
Eastern Boreal Floodplain Herbaceous,2444.000000,Tr Eastern Boreal Floodplain,Herb,676,Riparian,Jack Pine Forest,SAF 1: Jack Pine,Tree-dominated,Closed tree canopy,Perennial graminoid grassland,174.000000,245.000000,224.000000,0.682353,0.960784,0.878431,3271
Eastern Boreal Floodplain Shrubland,2444.000000,Tr Eastern Boreal Floodplain,Shrub,676,Riparian,Jack Pine Forest,SAF 1: Jack Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous shrubland,174.000000,245.000000,224.000000,0.682353,0.960784,0.878431,3272
Eastern Great Plains Floodplain Herbaceous,2469.000000,Tr Eastern Great Plains Floodplain Systems,Herb,666,Riparian,Eastern Floodplain Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Perennial graminoid grassland,6.000000,53.000000,122.000000,0.023529,0.207843,0.478431,3273
Central Interior and Appalachian Floodplain Herbaceous,2471.000000,Tr Central Interior and Appalachian Floodplain Systems,Herb,666,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Perennial graminoid grassland,0.000000,92.000000,0.000000,0.000000,0.360784,0.000000,3274
Central Interior and Appalachian Floodplain Shrubland,2471.000000,Tr Central Interior and Appalachian Floodplain Systems,Shrub,666,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,0.000000,92.000000,0.000000,0.000000,0.360784,0.000000,3275
Laurentian-Acadian Floodplain Herbaceous,2475.000000,Tr Laurentian-Acadian Floodplain Systems,Herb,666,Riparian,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Perennial graminoid grassland,50.000000,137.000000,168.000000,0.196078,0.537255,0.658824,3276
Laurentian-Acadian Floodplain Shrubland,2475.000000,Tr Laurentian-Acadian Floodplain Systems,Shrub,666,Riparian,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,50.000000,137.000000,168.000000,0.196078,0.537255,0.658824,3277
Boreal Acidic Peatland Herbaceous,2477.000000,Tr Boreal Acidic Peatland Systems,Herb,683,Riparian,Peatland Forests,SAF 13: Black Spruce-Tamarack,Shrub-dominated,Shrubland,Perennial graminoid grassland,186.000000,163.000000,119.000000,0.729412,0.639216,0.466667,3278
Boreal Acidic Peatland Shrubland,2477.000000,Tr Boreal Acidic Peatland Systems,Shrub,683,Riparian,Peatland Forests,SAF 13: Black Spruce-Tamarack,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,186.000000,163.000000,119.000000,0.729412,0.639216,0.466667,3279
Central Interior and Appalachian Swamp Shrubland,2479.000000,Tr Central Interior and Appalachian Swamp Systems,Shrub,694,Riparian,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,0.000000,92.000000,0.000000,0.000000,0.360784,0.000000,3280
Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,2481.000000,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Shrub,694,Riparian,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,50.000000,137.000000,168.000000,0.196078,0.537255,0.658824,3281
Great Lakes Coastal Marsh Shrubland,2492.000000,Sh Great Lakes Coastal Marsh Systems,Shrub,675,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous shrubland,255.000000,92.000000,38.000000,1.000000,0.360784,0.149020,3282
Central Interior and Appalachian Shrub Wetlands,2493.000000,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Shrub,675,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous shrubland,91.000000,195.000000,199.000000,0.356863,0.764706,0.780392,3283
Laurentian-Acadian Herbaceous Wetlands,2494.000000,Tr Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Herb,675,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255.000000,92.000000,38.000000,1.000000,0.360784,0.149020,3284
Laurentian-Acadian Shrub Wetlands,2494.000000,Tr Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Shrub,675,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous shrubland,255.000000,92.000000,38.000000,1.000000,0.360784,0.149020,3285
Paleozoic Plateau Bluff and Talus Herbaceous,2517.000000,Tr Paleozoic Plateau Bluff and Talus,Herb,663,Hardwood,Black Oak Woodland and Savanna,SAF 110: Black Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3286
Modified/Managed Northern Tallgrass Shrubland,2539.000000,Sh Modified/Managed Northern Tallgrass Grassland,Shrub,711,Grassland,Modified-Managed Prairie Grassland,LF 69: Modified-Managed Grassland,Herbaceous - Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous shrubland,255.000000,204.000000,0.000000,1.000000,0.800000,0.000000,3287
Central Appalachian Rocky Shrubland,2377.000000,Tr Central Appalachian Rocky Pine Woodland,Shrub,664,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,13.000000,69.000000,133.000000,0.050980,0.270588,0.521569,3288
Acadian-Appalachian Subalpine Heath-Krummholz,2389.000000,Tr Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrub,651,Shrubland,Alpine-Subalpine Barrens,LF 55: Appalachian Grass and Shrub Balds,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,82.000000,52.000000,34.000000,0.321569,0.203922,0.133333,3289
North-Central Oak Barrens Herbaceous,2395.000000,Tr North-Central Oak Barrens,Herb,663,Hardwood,Black Oak Woodland and Savanna,SAF 14: Northern Pin Oak,Tree-dominated,Sparse tree canopy,Deciduous sparse tree canopy,44.000000,127.000000,163.000000,0.172549,0.498039,0.639216,3290
Central Interior Highlands Calcareous Glade and Barrens Herbaceous,2401.000000,Tr Central Interior Highlands Calcareous Glade and Barrens,Herb,670,Conifer-Hardwood,Glades and Barrens,SRM 803: Missouri Glades,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,255.000000,153.000000,0.000000,1.000000,0.600000,0.000000,3291
Open Water,11.000000,Ba Open Water,Water,11,Open Water,Open Water,Non-vegetated,Non-vegetated,Non-vegetated,Non-vegetated,0.000000,0.000000,255.000000,0.000000,0.000000,1.000000,3292
Snow-Ice,12.000000,Ba Snow-Ice,Barren,12,Snow-Ice,Snow-Ice,Non-vegetated,Non-vegetated,Non-vegetated,Non-vegetated,159.000000,161.000000,240.000000,0.623529,0.631373,0.941176,3293
Barren,31.000000,Bab Barren,Barren,31,Barren,Barren,Non-vegetated,Non-vegetated,Non-vegetated,Non-vegetated,191.000000,191.000000,191.000000,0.749020,0.749020,0.749020,3294
Quarries-Strip Mines-Gravel Pits,32.000000,Bab Quarries-Strip Mines-Gravel Pits,Barren,32,Quarries-Strip Mines-Gravel Pits,Quarries-Strip Mines-Gravel Pits,Non-vegetated,Non-vegetated,Non-vegetated,Developed,191.000000,191.000000,191.000000,0.749020,0.749020,0.749020,3295
Developed-Low Intensity,2902.000000,Bau Developed-Low Intensity,Developed,22,Developed-Low Intensity,Developed-Low Intensity,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,255.000000,122.000000,143.000000,1.000000,0.478431,0.560784,3296
Developed-Medium Intensity,2903.000000,Bau Developed-Medium Intensity,Developed,23,Developed-Medium Intensity,Developed-Medium Intensity,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,253.000000,44.000000,79.000000,0.992157,0.172549,0.309804,3297
Developed-High Intensity,2904.000000,Bau Developed-High Intensity,Developed,24,Developed-High Intensity,Developed-High Intensity,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,173.000000,0.000000,28.000000,0.678431,0.000000,0.109804,3298
Developed-Roads,2905.000000,Bau Developed-Roads,Developed,25,Developed-Roads,Developed-Roads,No Dominant Lifeform,No Dominant Lifeform,No Dominant Lifeform,Developed,255.000000,255.000000,255.000000,1.000000,1.000000,1.000000,3299
Central Interior and Appalachian Riparian Herbaceous,2472.000000,Tr Central Interior and Appalachian Riparian Systems,Herb,668,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0.000000,92.000000,0.000000,0.000000,0.360784,0.000000,3300
Boreal Aspen-Birch Forest,2301.000000,Tr Boreal Aspen-Birch Forest,Tree,652,Hardwood,Aspen-Birch Forest,SAF 16: Aspen,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,192.000000,255.000000,138.000000,0.752941,1.000000,0.541176,3301
Laurentian-Acadian Northern Hardwoods Forest,2302.000000,Tr Laurentian-Acadian Northern Hardwoods Forest,Tree,682,Hardwood,Yellow Birch-Sugar Maple Forest,SAF 27: Sugar Maple,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,171.000000,255.000000,138.000000,0.670588,1.000000,0.541176,3302
Northeastern Interior Dry-Mesic Oak Forest,2303.000000,Tr Northeastern Interior Dry-Mesic Oak Forest,Tree,660,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3303
Ozark-Ouachita Dry-Mesic Oak Forest,2304.000000,Tr Ozark-Ouachita Dry-Mesic Oak Forest,Tree,660,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 53: White Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3304
Southern Interior Low Plateau Dry-Mesic Oak Forest,2305.000000,Tr Southern Interior Low Plateau Dry-Mesic Oak Forest,Tree,661,Hardwood,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13.000000,69.000000,133.000000,0.050980,0.270588,0.521569,3305
East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,2306.000000,Tr East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,Tree,667,Hardwood,White Oak-Beech Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3306
East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,2307.000000,Tr East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Tree,658,Hardwood,Coastal Plain Oak Forest,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3307
Crosstimbers Oak Forest and Woodland,2308.000000,Tr Crosstimbers Oak Forest and Woodland,Tree,662,Hardwood,Post Oak Woodland and Savanna,SAF 40: Post Oak-Blackjack Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3308
Southern Appalachian Northern Hardwood Forest,2309.000000,Tr Southern Appalachian Northern Hardwood Forest,Tree,682,Hardwood,Yellow Birch-Sugar Maple Forest,SAF 55: Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,216.000000,216.000000,191.000000,0.847059,0.847059,0.749020,3309
North-Central Interior Dry-Mesic Oak Forest and Woodland,2310.000000,Tr North-Central Interior Dry-Mesic Oak Forest and Woodland,Tree,660,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3310
North-Central Interior Dry Oak Forest and Woodland,2311.000000,Tr North-Central Interior Dry Oak Forest and Woodland,Tree,663,Hardwood,Black Oak Woodland and Savanna,SAF 110: Black Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3311
Ouachita Montane Oak Forest,2312.000000,Tr Ouachita Montane Oak Forest,Tree,681,Hardwood,Montane Oak Forest,SAF 40: Post Oak-Blackjack Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3312
North-Central Interior Beech-Maple Forest,2313.000000,Tr North-Central Interior Beech-Maple Forest,Tree,655,Hardwood,Beech-Maple-Basswood Forest,SAF 25: Sugar Maple-Beech-Yellow Birch,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0.000000,92.000000,0.000000,0.000000,0.360784,0.000000,3313
North-Central Interior Maple-Basswood Forest,2314.000000,Tr North-Central Interior Maple-Basswood Forest,Tree,655,Hardwood,Beech-Maple-Basswood Forest,SAF 26: Sugar Maple-Basswood,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,171.000000,255.000000,138.000000,0.670588,1.000000,0.541176,3314
Southern Appalachian Oak Forest,2315.000000,Tr Southern Appalachian Oak Forest,Tree,661,Hardwood,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13.000000,69.000000,133.000000,0.050980,0.270588,0.521569,3315
Southern Piedmont Mesic Forest,2316.000000,Tr Southern Piedmont Mesic Forest,Tree,667,Hardwood,White Oak-Beech Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85.000000,187.000000,194.000000,0.333333,0.733333,0.760784,3316
Allegheny-Cumberland Dry Oak Forest and Woodland,2317.000000,Tr Allegheny-Cumberland Dry Oak Forest and Woodland,Tree,661,Hardwood,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13.000000,69.000000,133.000000,0.050980,0.270588,0.521569,3317
Southern and Central Appalachian Cove Forest,2318.000000,Tr Southern and Central Appalachian Cove Forest,Tree,655,Hardwood,Beech-Maple-Basswood Forest,SAF 58: Yellow Poplar-Eastern Hemlock,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,18.000000,76.000000,135.000000,0.070588,0.298039,0.529412,3318
Central Interior and Appalachian Riparian Shrubland,2472.000000,Tr Central Interior and Appalachian Riparian Systems,Shrub,668,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0.000000,92.000000,0.000000,0.000000,0.360784,0.000000,3319
