Site,Transect,Meter,Raw_data_entry,Species,Type,cover,Max_height_cm,Avg_height_cm,Comments,Entered.by,Daniel,Avg.Vol.c,Max.Vol.c,Cover_type,Number_records,mean_Avg.Ratio.L,median_Avg.Ratio.L,SD_Avg.Ratio.L,max_Avg.Ratio.L,min_Avg.Ratio.L,mean_Max.Ratio.L,median_Max.Ratio.L,SD_Max.Ratio.L,max_Max.Ratio.L,min_Max.Ratio.L,Live.Weight_mean.Avg.Ratio.L,Live.Weight_mean.Max.Ratio.L
GRNCAR,1,15,Abies sp. Seedling,Abies sp.,Tree,1,5,5,Seedlings,JMP,"In cover, T was replaced by 1",500,500,Tree,1,0.005636364,0.005636364,NA,0.005636364,0.005636364,0.002818182,0.002818182,NA,0.002818182,0.002818182,2.818182,1.409091
GRNCAR,1,15,Soft Loose Litter,BLANK,Soft loose litter,50,2,1,,JMP,,5000,10000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,687.7589,1042.614237
GRNCAR,1,15,Woody Litter,BLANK,Woody litter,20,5,2,,JMP,,4000,10000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,2430.231957,3181.688594
GRNCAR,1,20,Abies sp. Seedling,Abies sp.,Tree,10,65,65,Seedlings,JMP,,65000,65000,Tree,1,0.005636364,0.005636364,NA,0.005636364,0.005636364,0.002818182,0.002818182,NA,0.002818182,0.002818182,366.36366,183.18183
GRNCAR,1,20,Soft Loose Litter,BLANK,Soft loose litter,30,1,1,,JMP,,3000,3000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,412.65534,312.7842711
GRNCAR,1,20,Soft Rooted Litter,BLANK,Soft rooted litter,6,3,3,,JMP,,1800,1800,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,38.07998741,30.31695266
GRNCAR,1,20,Woody Litter,BLANK,Woody litter,64,8,3,,JMP,,19200,51200,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,11665.1134,16290.2456
GRNCAR,1,25,Quercus kelloggii Seedling,Quercus kelloggii,Tree,4,18,18,seedling,JMP,,7200,7200,Tree,1,0.0032,0.0032,NA,0.0032,0.0032,0.00256,0.00256,NA,0.00256,0.00256,23.04,18.432
GRNCAR,1,25,Soft Loose Litter,BLANK,Soft loose litter,5,1,1,,JMP,,500,500,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,68.77589,52.13071185
GRNCAR,1,25,Woody Litter,BLANK,Woody litter,90,25,3,,JMP,,27000,225000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,16404.06571,71587.99337
GRNCAR,1,30,Soft Loose Litter,BLANK,Soft loose litter,80,3,1,,JMP,,8000,24000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,1100.41424,2502.274169
GRNCAR,1,30,Woody Litter,BLANK,Woody litter,15,2,1,,JMP,,1500,3000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,911.336984,954.5065783
GRNCAR,1,35,Soft Loose Litter,BLANK,Soft loose litter,35,3,2,,JMP,,7000,10500,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,962.86246,1094.744949
GRNCAR,1,35,Woody Litter,BLANK,Woody litter,60,3,1,,JMP,,6000,18000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,3645.347936,5727.03947
GRNCAR,1,40,Soft Loose Litter,BLANK,Soft loose litter,53,2,1,,JMP,,5300,10600,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,729.024434,1105.171091
GRNCAR,1,40,Woody Litter,BLANK,Woody litter,45,4,1,,JMP,,4500,18000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,2734.010952,5727.03947
GRNCAR,1,45,Soft Loose Litter,BLANK,Soft loose litter,27,1,1,,JMP,,2700,2700,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,371.389806,281.505844
GRNCAR,1,45,Soft Rooted Litter,BLANK,Soft rooted litter,3,2,2,,JMP,,600,600,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,12.69332914,10.10565089
GRNCAR,1,45,symphoricarpos mollis,Symphoricarpos mollis,Shrub,3,5,5,,JMP,,1500,1500,Shrub,1,0.014254545,0.014254545,NA,0.014254545,0.014254545,0.008909091,0.008909091,NA,0.008909091,0.008909091,21.3818175,13.3636365
GRNCAR,1,45,Woody Litter,BLANK,Woody litter,70,4,1,,JMP,,7000,28000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,4252.905925,8908.728064
GRNCAR,2,0,Soft Loose Litter,BLANK,Soft loose litter,35,5,13,,JMP,,45500,17500,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,6258.60599,1824.574915
GRNCAR,2,0,Woody Litter,BLANK,Woody litter,45,5,3,,JMP,,13500,22500,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,8202.032856,7158.799337
GRNCAR,2,5,Abies sp.,Abies sp.,Tree,5,700,700,,JMP,,350000,350000,Tree,1,0.005636364,0.005636364,NA,0.005636364,0.005636364,0.002818182,0.002818182,NA,0.002818182,0.002818182,1972.7274,986.3637
GRNCAR,2,5,Soft Loose Litter,BLANK,Soft loose litter,72,2,1,,JMP,,7200,14400,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,990.372816,1501.364501
GRNCAR,2,5,Woody Litter,BLANK,Woody litter,25,5,3,,JMP,,7500,12500,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,4556.68492,3977.110743
GRNCAR,2,10,Quercus kelloggii Sapling,Quercus kelloggii,Tree,1,9,9,Sapling,JMP,,900,900,Tree,1,0.0032,0.0032,NA,0.0032,0.0032,0.00256,0.00256,NA,0.00256,0.00256,2.88,2.304
GRNCAR,2,10,Soft Loose Litter,BLANK,Soft loose litter,80,6,5,,JMP,,40000,48000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,5502.0712,5004.548337
GRNCAR,2,10,Woody Litter,BLANK,Woody litter,20,5,3,,JMP,,6000,10000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,3645.347936,3181.688594
GRNCAR,2,15,Soft Loose Litter,BLANK,Soft loose litter,55,5,4,,JMP,,22000,27500,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,3026.13916,2867.189152
GRNCAR,2,15,Woody Litter,BLANK,Woody litter,40,55,25,,JMP,,1.00E+05,220000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,60755.79893,69997.14907
GRNCAR,2,20,Ribes roezlii,Ribes roezlii,Shrub,1,10,8,,JMP,"In cover, T was replaced by 1",800,1000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,8.031435667,7.65465175
GRNCAR,2,20,Soft Loose Litter,BLANK,Soft loose litter,72,8,5,,JMP,,36000,57600,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,4951.86408,6005.458005
GRNCAR,2,20,Woody Litter,BLANK,Woody litter,25,10,4,,JMP,,10000,25000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,6075.579893,7954.221486
GRNCAR,2,25,Soft Loose Litter,BLANK,Soft loose litter,80,8,5,,JMP,,40000,64000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,5502.0712,6672.731116
GRNCAR,2,25,Woody Litter,BLANK,Woody litter,20,5,4,,JMP,,8000,10000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,4860.463915,3181.688594
GRNCAR,2,30,Soft Loose Litter,BLANK,Soft loose litter,50,8,5,,JMP,,25000,40000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,3438.7945,4170.456948
GRNCAR,2,30,Woody Litter,BLANK,Woody litter,50,6,4,,JMP,,20000,30000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,12151.15979,9545.065783
GRNCAR,2,35,Quercus kelloggii Sapling,Quercus kelloggii,Tree,1,19,19,Sapling,JMP,,1900,1900,Tree,1,0.0032,0.0032,NA,0.0032,0.0032,0.00256,0.00256,NA,0.00256,0.00256,6.08,4.864
GRNCAR,2,35,Soft Loose Litter,BLANK,Soft loose litter,63,6,5,,JMP,,31500,37800,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,4332.88107,3941.081816
GRNCAR,2,35,Woody Litter,BLANK,Woody litter,33,8,4,,JMP,,13200,26400,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,8019.765459,8399.657889
GRNCAR,2,40,Soft Loose Litter,BLANK,Soft loose litter,67,9,7,,JMP,,46900,60300,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,6451.178482,6286.963849
GRNCAR,2,40,Woody Litter,BLANK,Woody litter,30,6,4,,JMP,,12000,18000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,7290.695872,5727.03947
GRNCAR,2,45,calocedrus decurrens Sapling,Calocedrus decurrens,Tree,2,25,25,Seedling,JMP,,5000,5000,Tree,4,0.187606838,0.007880342,0.362952684,0.732,0.002666667,0.065435898,0.007538462,0.1191206,0.244,0.002666667,938.0341888,327.1794875
GRNCAR,2,45,Soft Loose Litter,BLANK,Soft loose litter,73,7,4,,JMP,,29200,51100,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,4016.511976,5327.758751
GRNCAR,2,45,Woody Litter,BLANK,Woody litter,25,5,3,,JMP,,7500,12500,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,4556.68492,3977.110743
GRNDAM,1,0,Soft Loose Litter,BLANK,Soft loose litter,70,7,5,,JMP,,35000,49000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,4814.3123,5108.809761
GRNDAM,1,0,Woody Litter,BLANK,Woody litter,30,6,2,,JMP,,6000,18000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,3645.347936,5727.03947
GRNDAM,1,5,Soft Loose Litter,BLANK,Soft loose litter,73,9,7,,JMP,,51100,65700,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,7028.895958,6849.975537
GRNDAM,1,5,Woody Litter,BLANK,Woody litter,27,12,9,,JMP,,24300,32400,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,14763.65914,10308.67105
GRNDAM,1,10,calocedrus decurrens Sapling,Calocedrus decurrens,Tree,2,59,45,Seedling,JMP,,9000,11800,Tree,4,0.187606838,0.007880342,0.362952684,0.732,0.002666667,0.065435898,0.007538462,0.1191206,0.244,0.002666667,1688.46154,772.1435905
GRNDAM,1,10,Oregon grape,Mahonia aquifolium,Shrub,3,35,30,UNKNOWN,JMP,,9000,10500,Shrub,1,0.002030769,0.002030769,NA,0.002030769,0.002030769,0.001664565,0.001664565,NA,0.001664565,0.001664565,18.276921,17.4779325
GRNDAM,1,10,Soft Loose Litter,BLANK,Soft loose litter,40,10,7,,JMP,,28000,40000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,3851.44984,4170.456948
GRNDAM,1,10,Woody Litter,BLANK,Woody litter,60,18,4,,JMP,,24000,108000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,14581.39174,34362.23682
GRNDAM,1,15,Oregon grape,Mahonia aquifolium,Shrub,1,7,5,UNKNOWN,JMP,"In cover, T was replaced by 1",500,700,Shrub,1,0.002030769,0.002030769,NA,0.002030769,0.002030769,0.001664565,0.001664565,NA,0.001664565,0.001664565,1.0153845,1.1651955
GRNDAM,1,15,Soft Loose Litter,BLANK,Soft loose litter,45,12,9,,JMP,,40500,54000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,5570.84709,5630.116879
GRNDAM,1,15,Tree-dead,Unknown,Tree,25,100,100,Pinaceae spp. (conifer/pine),JMP,"In Max_height_cm and Avg_height_cm, >100 was replaced by 100",250000,250000,Tree,1,0.01,0.01,NA,0.01,0.01,0.006666667,0.006666667,NA,0.006666667,0.006666667,2500,1666.66675
GRNDAM,1,15,Woody Litter,BLANK,Woody litter,30,11,3,,JMP,,9000,33000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,5468.021904,10499.57236
GRNDAM,1,20,Soft Loose Litter,BLANK,Soft loose litter,74,12,10,,JMP,,74000,88800,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,10178.83172,9258.414424
GRNDAM,1,20,Woody Litter,BLANK,Woody litter,25,9,4,,JMP,,10000,22500,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,6075.579893,7158.799337
GRNDAM,1,25,chimaphila umbellata,Chimaphila umbellata,Dominant forb,2,15,12,,JMP,,2400,3000,Dominant forb,1,0.016666667,0.016666667,NA,0.016666667,0.016666667,0.008333333,0.008333333,NA,0.008333333,0.008333333,40.0000008,24.999999
GRNDAM,1,25,Forbs,BLANK,Forbs,1,5,3,,JMP,"In cover, T was replaced by 1",300,500,Forbs,13,0.011794566,0.006293706,0.01141222,0.034666667,0.002,0.006874302,0.005454545,0.005152385,0.016,0.0016,3.538369823,3.437151077
GRNDAM,1,25,Soft Loose Litter,BLANK,Soft loose litter,88,13,10,,JMP,,88000,114400,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,12104.55664,11927.50687
GRNDAM,1,25,Woody Litter,BLANK,Woody litter,12,7,4,,JMP,,4800,8400,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,2916.278349,2672.618419
GRNDAM,1,30,Abies concolor Sapling,Abies concolor,Tree,25,94,75,seedling,JMP,,187500,235000,Tree,4,0.005854563,0.006639044,0.003142225,0.00875,0.001390164,0.004644725,0.005094368,0.002348455,0.007,0.001390164,1097.730563,1091.510375
GRNDAM,1,30,Abies concolor Seedling,Abies concolor,Tree,2,32,22,seedling,JMP,,4400,6400,Tree,4,0.005854563,0.006639044,0.003142225,0.00875,0.001390164,0.004644725,0.005094368,0.002348455,0.007,0.001390164,25.7600772,29.72624
GRNDAM,1,30,calocedrus decurrens Sapling,Calocedrus decurrens,Tree,3,43,25,Seedling,JMP,,7500,12900,Tree,4,0.187606838,0.007880342,0.362952684,0.732,0.002666667,0.065435898,0.007538462,0.1191206,0.244,0.002666667,1407.051283,844.1230778
GRNDAM,1,30,calocedrus decurrens Sapling,Calocedrus decurrens,Tree,12,100,100,Seedling,JMP,"In Max_height_cm and Avg_height_cm, >100 was replaced by 100",120000,120000,Tree,4,0.187606838,0.007880342,0.362952684,0.732,0.002666667,0.065435898,0.007538462,0.1191206,0.244,0.002666667,22512.82053,7852.3077
GRNDAM,1,30,chimaphila umbellata,Chimaphila umbellata,Dominant forb,1,15,10,,JMP,,1000,1500,Dominant forb,1,0.016666667,0.016666667,NA,0.016666667,0.016666667,0.008333333,0.008333333,NA,0.008333333,0.008333333,16.666667,12.4999995
GRNDAM,1,30,Forbs,BLANK,Forbs,1,3,3,,JMP,"In cover, T was replaced by 1",300,300,Forbs,13,0.011794566,0.006293706,0.01141222,0.034666667,0.002,0.006874302,0.005454545,0.005152385,0.016,0.0016,3.538369823,2.062290646
GRNDAM,1,30,Soft Loose Litter,BLANK,Soft loose litter,73,11,10,,JMP,,73000,80300,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,10041.27994,8372.192323
GRNDAM,1,30,Woody Litter,BLANK,Woody litter,27,11,5,,JMP,,13500,29700,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,8202.032856,9449.615125
GRNDAM,1,35,Grasses,BLANK,Grass,1,48,20,,JMP,,2000,4800,Grass,12,0.002098862,0.001637363,0.001509254,0.005714286,0.00075,0.001581358,0.000984985,0.001502082,0.005714286,0.000457143,4.197723667,7.5905196
GRNDAM,1,35,Soft Loose Litter,BLANK,Soft loose litter,68,13,11,,JMP,,74800,88400,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,10288.87314,9216.709854
GRNDAM,1,35,Woody Litter,BLANK,Woody litter,32,30,13,,JMP,,41600,96000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,25274.41236,30544.21051
GRNDAM,1,40,chimaphila umbellata,Chimaphila umbellata,Dominant forb,2,22,12,,JMP,,2400,4400,Dominant forb,1,0.016666667,0.016666667,NA,0.016666667,0.016666667,0.008333333,0.008333333,NA,0.008333333,0.008333333,40.0000008,36.6666652
GRNDAM,1,40,Soft Loose Litter,BLANK,Soft loose litter,59,8,4,,JMP,,23600,47200,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,3246.222008,4921.139198
GRNDAM,1,40,Woody Litter,BLANK,Woody litter,40,8,2,,JMP,,8000,32000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,4860.463915,10181.4035
GRNDAM,1,45,chimaphila embilada,Chimaphila umbellata,Dominant forb,1,5,4,,JMP,"In cover, T was replaced by 1",400,500,Dominant forb,1,0.016666667,0.016666667,NA,0.016666667,0.016666667,0.008333333,0.008333333,NA,0.008333333,0.008333333,6.6666668,4.1666665
GRNDAM,1,45,Pinaceae sp seedling,Pinaceae,Tree,1,12,11,Seedling,JMP,"In cover, T was replaced by 1",1100,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNDAM,1,45,Soft Loose Litter,BLANK,Soft loose litter,65,6,3,,JMP,,19500,39000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,2682.25971,4066.195524
GRNDAM,1,45,Woody Litter,BLANK,Woody litter,26,25,15,,JMP,,39000,65000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,23694.76158,20680.97586
GRNDAM,2,0,Soft Loose Litter,BLANK,Soft loose litter,82,5,3,,JMP,,24600,41000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,3383.773788,4274.718371
GRNDAM,2,0,Woody Litter,BLANK,Woody litter,18,13,5,,JMP,,9000,23400,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,5468.021904,7445.151311
GRNDAM,2,5,calocedrus decurrens ,Calocedrus decurrens,Tree,3,100,95,,JMP,"In Max_height_cm , >100 was replaced by 100",28500,30000,Tree,4,0.187606838,0.007880342,0.362952684,0.732,0.002666667,0.065435898,0.007538462,0.1191206,0.244,0.002666667,5346.794876,1963.076925
GRNDAM,2,5,chimaphila embilada,Chimaphila umbellata,Dominant forb,1,10,7,,JMP,,700,1000,Dominant forb,1,0.016666667,0.016666667,NA,0.016666667,0.016666667,0.008333333,0.008333333,NA,0.008333333,0.008333333,11.6666669,8.333333
GRNDAM,2,5,Pinaceae sp seedling,Pinaceae,Tree,1,6,6,Seedling,JMP,"In cover, T was replaced by 1",600,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNDAM,2,5,Soft Loose Litter,BLANK,Soft loose litter,70,6,5,,JMP,,35000,42000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,4814.3123,4378.979795
GRNDAM,2,5,Soft Rooted Litter,BLANK,Soft rooted litter,1,1,1,,JMP,,100,100,Soft rooted litter,25,0.021155549,0.01184,0.025762811,0.12,0.001666667,0.016842751,0.0075,0.025491502,0.12,0.000597015,2.115554856,1.684275148
GRNDAM,2,5,Woody Litter,BLANK,Woody litter,23,12,1,,JMP,,2300,27600,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,1397.383376,8781.46052
GRNDAM,2,10,Abies concolor,Abies concolor,Tree,4,100,80,OVERHANGING DEAD BRANCHES,JMP,"In Max_height_cm , >100 was replaced by 100",32000,40000,Tree,4,0.005854563,0.006639044,0.003142225,0.00875,0.001390164,0.004644725,0.005094368,0.002348455,0.007,0.001390164,187.346016,185.789
GRNDAM,2,10,Abies concolor Sapling,Abies concolor,Tree,15,100,100,OVERHANGING DEAD BRANCHES,JMP,"In Max_height_cm , >100 was replaced by 100",150000,150000,Tree,4,0.005854563,0.006639044,0.003142225,0.00875,0.001390164,0.004644725,0.005094368,0.002348455,0.007,0.001390164,878.18445,696.70875
GRNDAM,2,10,chimaphila embilada,Chimaphila umbellata,Dominant forb,1,6,4,,JMP,"In cover, T was replaced by 1",400,600,Dominant forb,1,0.016666667,0.016666667,NA,0.016666667,0.016666667,0.008333333,0.008333333,NA,0.008333333,0.008333333,6.6666668,4.9999998
GRNDAM,2,10,Pinus lambertiana Seedling,Pinus lambertiana,Tree,1,25,24,Seedling,JMP,,2400,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRNDAM,2,10,Soft Loose Litter,BLANK,Soft loose litter,78,10,8,,JMP,,62400,78000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,8583.231072,8132.391048
GRNDAM,2,10,Woody Litter,BLANK,Woody litter,26,25,15,,JMP,,39000,65000,Woody litter,66,0.607557989,0.42,0.599188331,2.94,0.07,0.318168859,0.216,0.319545507,1.47,0.041288889,23694.76158,20680.97586
GRNDAM,2,15,Soft Loose Litter,BLANK,Soft loose litter,60,9,7,,JMP,,42000,54000,Soft loose litter,77,0.13755178,0.083902439,0.226653258,1.862,0.007666667,0.104261424,0.057851852,0.21803323,1.862,0.007666667,5777.17476,5630.116879
