Site,Date,Transect,Meter,Species,Shrub_or_Tree,Height_cm,Width_cm,Length_cm,Tree.DBH_cm,Comments,Entered.by,Review.comment,Volume,Cover_type,Number_records,mean_Avg.Ratio.L,median_Avg.Ratio.L,SD_Avg.Ratio.L,max_Avg.Ratio.L,min_Avg.Ratio.L,mean_Max.Ratio.L,median_Max.Ratio.L,SD_Max.Ratio.L,max_Max.Ratio.L,min_Max.Ratio.L,Live.Weight_mean.Avg.Ratio.L,Live.Weight_mean.Max.Ratio.L,oldBAT,youngBAT,std.biomass,biomass
GRNKAN,42947,1,20-25,Chamaebatia foliolosa,Shrub,26,50,160,NA,NA,AMM,NA,208000,Shrub,4,0.005340718,0.005514286,0.000428618,0.005623188,0.004711111,0.004390159,0.004326984,0.000189289,0.004666667,0.00424,1110.86924,913.15302,NA,NA,NA,1110.86924
GRNKAN,42947,1,20-25,Quercus kelloggii,Shrub,90,80,90,NA,measured like shrub,AMM,NA,648000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1134.954184,366.224663,NA,366.224663
GRNKAN,42947,1,20-25,Quercus kelloggii,Shrub,300,100,200,NA,measured like shrub,AMM,NA,6000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1134.954184,366.224663,NA,366.224663
GRNKAN,42947,1,25-30,Chamaebatia foliolosa,Shrub,45,120,97,NA,NA,AMM,NA,523800,Shrub,4,0.005340718,0.005514286,0.000428618,0.005623188,0.004711111,0.004390159,0.004326984,0.000189289,0.004666667,0.00424,2797.467827,2299.565153,NA,NA,NA,2797.467827
GRNKAN,42947,2,43230,Quercus kelloggii,Shrub,81,162,95,NA,measured like shrub,AMM,NA,1246590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.5894165,84.65526933,NA,84.65526933
GRNKAN,42947,2,15-20,Arctostaphylos viscida,Shrub,95,180,300,NA,NA,AMM,NA,5130000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,46553.43745,33650.3889,NA,NA,NA,46553.43745
GRNKAN,42947,2,20-25,Quercus kelloggii,Shrub,105,60,80,NA,measured like shrub,AMM,NA,504000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.1976359,48.13808369,NA,48.13808369
GRNKAN,42947,2,30-35,Quercus kelloggii,Shrub,550,300,280,NA,measured like shrub,AMM,NA,46200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6111.279103,929.9297213,NA,929.9297213
GRNMAS,42962,1,20-25,Ceanothus cordulatus,Shrub,100,190,210,NA,NA,AMM,NA,3990000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,28826.04684,20648.09667,NA,NA,NA,28826.04684
GRNMAS,42962,1,20-25,Ceanothus cordulatus,Shrub,85,110,130,NA,NA,AMM,NA,1215500,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,8781.468655,6290.16579,NA,NA,NA,8781.468655
GRNMAS,42962,1,20-25,Ceanothus cordulatus,Shrub,115,200,380,NA,NA,AMM,NA,8740000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,63142.76927,45229.16413,NA,NA,NA,63142.76927
GRNMAS,42962,1,25-30,Ceanothus cordulatus,Shrub,115,270,280,NA,NA,AMM,NA,8694000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,62810.4389,44991.1159,NA,NA,NA,62810.4389
GRNMAS,42962,2,20-25,Arctostaphylos patula,Shrub,130,160,150,NA,NA,AMM,NA,3120000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,28313.20173,20465.7336,NA,NA,NA,28313.20173
GRNMAS,42962,2,20-25,Arctostaphylos patula,Shrub,133,330,220,NA,NA,AMM,NA,9655800,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,87623.91449,63337.50977,NA,NA,NA,87623.91449
GRNMAS,42962,2,20-25,Arctostaphylos patula,Shrub,145,360,300,NA,NA,AMM,NA,15660000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,142110.4933,102722.2398,NA,NA,NA,142110.4933
GRNMAS,42962,2,20-25,Arctostaphylos patula,Shrub,135,250,150,NA,NA,AMM,NA,5062500,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,45940.89222,33207.62063,NA,NA,NA,45940.89222
GRNMAS,42962,2,20-25,Arctostaphylos patula,Shrub,120,145,180,NA,NA,AMM,NA,3132000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,28422.09866,20544.44796,NA,NA,NA,28422.09866
GRNMAS,42962,2,20-25,Arctostaphylos patula,Shrub,130,230,300,NA,NA,AMM,NA,8970000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,81400.45496,58838.9841,NA,NA,NA,81400.45496
GRNMAS,42962,2,25-30,Arctostaphylos patula,Shrub,140,280,310,NA,NA,AMM,NA,12152000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,110276.2908,79711.40856,NA,NA,NA,110276.2908
GRNMAS,42962,2,35-40,Arctostaphylos patula,Shrub,80,65,45,NA,NA,AMM,NA,234000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,2123.490129,1534.93002,NA,NA,NA,2123.490129
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,115,175,85,NA,NA,AMM,NA,1710625,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,15523.4842,11220.89601,NA,NA,NA,15523.4842
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,180,150,130,NA,NA,AMM,NA,3510000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,31852.35194,23023.9503,NA,NA,NA,31852.35194
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,130,160,40,NA,NA,AMM,NA,832000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,7550.187127,5457.52896,NA,NA,NA,7550.187127
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,210,140,220,NA,NA,AMM,NA,6468000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,58695.44512,42427.04004,NA,NA,NA,58695.44512
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,150,140,165,NA,NA,AMM,NA,3465000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,31443.98846,22728.77145,NA,NA,NA,31443.98846
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,140,130,155,NA,NA,AMM,NA,2821000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,25599.85323,18504.43413,NA,NA,NA,25599.85323
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,160,110,60,NA,NA,AMM,NA,1056000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,9582.929815,6926.86368,NA,NA,NA,9582.929815
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,180,180,160,NA,NA,AMM,NA,5184000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,47043.47364,34004.60352,NA,NA,NA,47043.47364
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,200,250,210,NA,NA,AMM,NA,10500000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,95284.8135,68875.065,NA,NA,NA,95284.8135
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,200,135,60,NA,NA,AMM,NA,1620000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,14701.08551,10626.4386,NA,NA,NA,14701.08551
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,215,180,120,NA,NA,AMM,NA,4644000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,42143.1118,30462.45732,NA,NA,NA,42143.1118
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,170,140,130,NA,NA,AMM,NA,3094000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,28077.25838,20295.18582,NA,NA,NA,28077.25838
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,145,145,160,NA,NA,AMM,NA,3364000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,30527.4393,22066.25892,NA,NA,NA,30527.4393
GRNMAS,42962,2,40-45,Arctostaphylos patula,Shrub,50,110,40,NA,NA,AMM,NA,220000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,1996.443711,1443.0966,NA,NA,NA,1996.443711
GRNMAS,42962,2,40-45,Chamaebatia foliolosa,Shrub,30,160,140,NA,NA,AMM,NA,672000,Shrub,4,0.005340718,0.005514286,0.000428618,0.005623188,0.004711111,0.004390159,0.004326984,0.000189289,0.004666667,0.00424,3588.96216,2950.18668,NA,NA,NA,3588.96216
GRNMAS,42962,2,40-45,Chamaebatia foliolosa,Shrub,47,150,240,NA,NA,AMM,NA,1692000,Shrub,4,0.005340718,0.005514286,0.000428618,0.005623188,0.004711111,0.004390159,0.004326984,0.000189289,0.004666667,0.00424,9036.49401,7428.148605,NA,NA,NA,9036.49401
GRNMAS,42962,2,40-45,Chamaebatia foliolosa,Shrub,60,155,200,NA,NA,AMM,NA,1860000,Shrub,4,0.005340718,0.005514286,0.000428618,0.005623188,0.004711111,0.004390159,0.004326984,0.000189289,0.004666667,0.00424,9933.73455,8165.695275,NA,NA,NA,9933.73455
GRNQUA,42954,1,0-5,Ceanothus integerrimus,Shrub,121,110,180,NA,NA,AMM,NA,2395800,Shrub,19,0.004588263,0.002177778,0.005285338,0.021638095,0.000247619,0.00312736,0.001562791,0.003973959,0.01682963,0.000247619,10992.5605,7492.529088,NA,NA,NA,10992.5605
GRNQUA,42954,1,0-5,Ribes roezlii,Shrub,55,120,165,NA,NA,AMM,NA,1089000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,10932.7918,8335.915756,NA,NA,NA,10932.7918
GRNQUA,42954,1,0-5,Ribes roezlii,Shrub,23,250,160,NA,NA,AMM,NA,920000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,9236.151017,7042.27961,NA,NA,NA,9236.151017
GRNQUA,42954,1,15-20,Unknown,Shrub,63,160,110,NA,NA,AMM,NA,1108800,Shrub,3,0.006736111,0.006736111,0.006383603,0.01125,0.002222222,0.0053,0.0053,0.00523259,0.009,0.0016,7468.999877,5876.64,NA,NA,NA,7468.999877
GRNQUA,42954,1,20-25,Ceanothus cordulatus,Shrub,120,150,210,NA,NA,AMM,NA,3780000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,27308.88648,19561.35474,NA,NA,NA,27308.88648
GRNQUA,42954,1,20-25,Ceanothus cordulatus,Shrub,125,250,120,NA,NA,AMM,NA,3750000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,27092.14929,19406.10589,NA,NA,NA,27092.14929
GRNQUA,42954,1,20-25,Ceanothus cordulatus,Shrub,170,250,180,NA,NA,AMM,NA,7650000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,55267.98454,39588.45602,NA,NA,NA,55267.98454
GRNQUA,42954,1,20-25,Ribes roezlii,Shrub,48,70,80,NA,NA,AMM,NA,268800,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,2698.562384,2057.57039,NA,NA,NA,2698.562384
GRNQUA,42954,1,20-25,Ribes roezlii,Shrub,40,160,100,NA,NA,AMM,NA,640000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,6425.148533,4898.97712,NA,NA,NA,6425.148533
GRNQUA,42954,1,25-30,Ceanothus cordulatus,Shrub,165,150,100,NA,NA,AMM,NA,2475000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,17880.81853,12808.02989,NA,NA,NA,17880.81853
GRNQUA,42954,1,25-30,Ceanothus cordulatus,Shrub,100,250,180,NA,NA,AMM,NA,4500000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,32510.57914,23287.32707,NA,NA,NA,32510.57914
GRNQUA,42954,1,25-30,Ribes roezlii,Shrub,40,80,90,NA,NA,AMM,NA,288000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,2891.31684,2204.539704,NA,NA,NA,2891.31684
GRNQUA,42954,1,25-30,Unknown,Shrub,30,100,160,NA,NA,AMM,NA,480000,Shrub,3,0.006736111,0.006736111,0.006383603,0.01125,0.002222222,0.0053,0.0053,0.00523259,0.009,0.0016,3233.33328,2544,NA,NA,NA,3233.33328
GRNQUA,42954,1,30-35,Arctostaphylos patula,Shrub,160,180,170,NA,NA,AMM,NA,4896000,Shrub,7,0.009074744,0.0106,0.003310466,0.01264,0.00277686,0.00655953,0.007066667,0.00218689,0.00955,0.00277686,44429.94732,32115.45888,NA,NA,NA,44429.94732
GRNQUA,42954,1,30-35,Ceanothus cordulatus,Shrub,150,250,460,NA,NA,AMM,NA,17250000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,124623.8867,89268.08711,NA,NA,NA,124623.8867
GRNQUA,42954,1,30-35,Ceanothus cordulatus,Shrub,90,250,160,NA,NA,AMM,NA,3600000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,26008.46331,18629.86166,NA,NA,NA,26008.46331
GRNQUA,42954,1,35-40,Ceanothus cordulatus,Shrub,150,250,450,NA,NA,AMM,NA,16875000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,121914.6718,87327.47652,NA,NA,NA,121914.6718
GRNQUA,42954,1,35-40,Ceanothus cordulatus,Shrub,165,200,160,NA,NA,AMM,NA,5280000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,38145.74619,27323.7971,NA,NA,NA,38145.74619
GRNQUA,42954,1,35-40,Ceanothus cordulatus,Shrub,150,250,400,NA,NA,AMM,NA,15000000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,108368.5971,77624.42357,NA,NA,NA,108368.5971
GRNQUA,42954,1,35-40,Ceanothus cordulatus,Shrub,130,250,165,NA,NA,AMM,NA,5362500,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,38741.77348,27750.73143,NA,NA,NA,38741.77348
GRNQUA,42954,1,35-40,Ceanothus cordulatus,Shrub,160,250,470,NA,NA,AMM,NA,18800000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,135821.9751,97289.27754,NA,NA,NA,135821.9751
GRNQUA,42954,1,35-40,Ribes roezlii,Shrub,70,150,30,NA,NA,AMM,NA,315000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,3162.377794,2411.215301,NA,NA,NA,3162.377794
GRNQUA,42954,1,40-45,Ceanothus cordulatus,Shrub,150,250,170,NA,NA,AMM,NA,6375000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,46056.65379,32990.38002,NA,NA,NA,46056.65379
GRNQUA,42954,1,40-45,Ribes roezlii,Shrub,97,20,140,NA,NA,AMM,NA,271600,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,2726.672409,2079.003415,NA,NA,NA,2726.672409
GRNQUA,42954,1,40-45,Unknown,Shrub,40,250,270,NA,NA,AMM,NA,2700000,Shrub,3,0.006736111,0.006736111,0.006383603,0.01125,0.002222222,0.0053,0.0053,0.00523259,0.009,0.0016,18187.4997,14310,NA,NA,NA,18187.4997
GRNQUA,42954,1,45-50,Ceanothus cordulatus,Shrub,200,250,300,NA,NA,AMM,NA,15000000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,108368.5971,77624.42357,NA,NA,NA,108368.5971
GRNQUA,42954,1,45-50,Ceanothus cordulatus,Shrub,180,250,300,NA,NA,AMM,NA,13500000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,97531.73743,69861.98121,NA,NA,NA,97531.73743
GRNQUA,42954,1,45-50,Unknown,Shrub,25,30,80,NA,NA,AMM,NA,60000,Shrub,3,0.006736111,0.006736111,0.006383603,0.01125,0.002222222,0.0053,0.0053,0.00523259,0.009,0.0016,404.16666,318,NA,NA,NA,404.16666
GRNQUA,42954,2,0-5,Ceanothus cordulatus,Shrub,100,250,500,NA,NA,AMM,NA,12500000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,90307.16429,64687.01964,NA,NA,NA,90307.16429
GRNQUA,42954,2,0-5,Ceanothus cordulatus,Shrub,70,250,500,NA,NA,AMM,NA,8750000,Shrub,14,0.007224573,0.008266667,0.004345448,0.013555556,0.001357143,0.005174962,0.006042857,0.003106737,0.010041152,0.00095,63215.015,45280.91375,NA,NA,NA,63215.015
GRNQUA,42954,2,0-5,Ribes roezlii,Shrub,80,20,60,NA,NA,AMM,NA,96000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,963.77228,734.846568,NA,NA,NA,963.77228
GRNQUA,42954,2,43230,Frangula rubra,Shrub,90,140,100,NA,NA,AMM,NA,1260000,Shrub,2,0.002802353,0.002802353,0.000524645,0.003173333,0.002431373,0.002194309,0.002194309,0.000180513,0.002321951,0.002066667,3530.96478,2764.82934,NA,NA,NA,3530.96478
GRNQUA,42954,2,43230,Ribes roezlii,Shrub,30,60,50,NA,NA,AMM,NA,90000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,903.5365125,688.9186575,NA,NA,NA,903.5365125
GRNQUA,42954,2,43230,Ribes roezlii,Shrub,55,100,250,NA,NA,AMM,NA,1375000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,13804.03005,10525.14616,NA,NA,NA,13804.03005
GRNQUA,42954,2,43388,Ribes roezlii,Shrub,35,50,35,NA,NA,AMM,NA,61250,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,614.9067932,468.8474197,NA,NA,NA,614.9067932
GRNQUA,42954,2,25-30,Frangula rubra,Shrub,200,150,250,NA,NA,AMM,NA,7500000,Shrub,2,0.002802353,0.002802353,0.000524645,0.003173333,0.002431373,0.002194309,0.002194309,0.000180513,0.002321951,0.002066667,21017.6475,16457.3175,NA,NA,NA,21017.6475
GRNQUA,42954,2,25-30,Frangula rubra,Shrub,55,35,20,NA,NA,AMM,NA,38500,Shrub,2,0.002802353,0.002802353,0.000524645,0.003173333,0.002431373,0.002194309,0.002194309,0.000180513,0.002321951,0.002066667,107.8905905,84.4808965,NA,NA,NA,107.8905905
GRNQUA,42954,2,25-30,Ribes roezlii,Shrub,40,180,250,NA,NA,AMM,NA,1800000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,18070.73025,13778.37315,NA,NA,NA,18070.73025
GRNQUA,42954,2,30-35,Frangula rubra,Shrub,230,160,80,NA,NA,AMM,NA,2944000,Shrub,2,0.002802353,0.002802353,0.000524645,0.003173333,0.002431373,0.002194309,0.002194309,0.000180513,0.002321951,0.002066667,8250.127232,6460.045696,NA,NA,NA,8250.127232
GRNQUA,42954,2,30-35,Frangula rubra,Shrub,90,50,30,NA,NA,AMM,NA,135000,Shrub,2,0.002802353,0.002802353,0.000524645,0.003173333,0.002431373,0.002194309,0.002194309,0.000180513,0.002321951,0.002066667,378.317655,296.231715,NA,NA,NA,378.317655
GRNQUA,42954,2,30-35,Ribes roezlii,Shrub,50,70,70,NA,NA,AMM,NA,245000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,2459.627173,1875.389679,NA,NA,NA,2459.627173
GRNQUA,42954,2,30-35,Ribes roezlii,Shrub,55,90,30,NA,NA,AMM,NA,148500,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,1490.835246,1136.715785,NA,NA,NA,1490.835246
GRNQUA,42954,2,30-35,Ribes roezlii,Shrub,50,70,20,NA,NA,AMM,NA,70000,Shrub,12,0.010039295,0.004420244,0.011212273,0.036363636,0.00128,0.007654652,0.003249517,0.010409854,0.036363636,0.000530612,702.7506208,535.8256225,NA,NA,NA,702.7506208
