ID,Site,Date,Transect,Meter,Species,DBH_cm,Intact,State,Height_m,Comments,Entered_by,Range,DBH_inch,Biomass
33,GRNCAR,04-Sep-17,1,45-50,Abies concolor,27.8,Y,H,,,JMP,,10.9448878,302.5795995
34,GRNCAR,04-Sep-17,1,10-May,Calocedrus decurrens,86.8,Y,H,,,JMP,,34.1732468,3135.613349
35,GRNCAR,04-Sep-17,1,10-May,Abies concolor,19.7,Y,H,,,JMP,,7.7559097,128.7286992
36,GRNCAR,04-Sep-17,2,0-5,Abies sp.,55.8,Y,D,,,JMP,,21.9685158,1608.969366
37,GRNCAR,04-Sep-17,2,0-5,Abies sp.,49,Y,D,,,JMP,,19.291349,1164.695508
38,GRNCAR,04-Sep-17,2,0-5,Calocedrus decurrens,47.4,Y,H,,,JMP,,18.6614274,799.350353
39,GRNCAR,04-Sep-17,2,0-5,Abies concolor,22.5,Y,H,,,JMP,,8.8582725,179.0163045
40,GRNCAR,04-Sep-17,2,15-Oct,Calocedrus decurrens,32.3,Y,D,,missing 3% of top of tree,JMP,,12.7165423,316.0192976
41,GRNCAR,04-Sep-17,2,15-Oct,Abies concolor,60.6,Y,D,,,JMP,,23.8582806,1975.336732
42,GRNCAR,04-Sep-17,2,15-Oct,Abies concolor,81.4,Y,D,,,JMP,,32.0472614,4112.608512
43,GRNCAR,04-Sep-17,2,15-Oct,Abies concolor,25.6,Y,D,,,JMP,,10.0787456,231.3555038
44,GRNCAR,04-Sep-17,2,15-Oct,Pinus ponderosa,52.1,Y,H,,,JMP,,20.5118221,1199.861406
45,GRNCAR,04-Sep-17,2,15-20,Abies concolor,65.8,Y,H,,,JMP,,25.9055258,2566.448888
46,GRNCAR,04-Sep-17,2,15-20,Abies concolor,72.3,Y,D,,,JMP,,28.4645823,3063.265871
47,GRNCAR,04-Sep-17,2,20-25,Pinus ponderosa,65.9,Y,H,,,JMP,,25.9448959,2126.214168
48,GRNCAR,04-Sep-17,2,20-25,Calocedrus decurrens,20.7,Y,D,,missing 3% of top of tree,JMP,,8.1496107,115.0625867
49,GRNCAR,04-Sep-17,2,20-25,Abies concolor,56.4,Y,H,,,JMP,,22.2047364,1750.696469
50,GRNCAR,04-Sep-17,2,25-30,Calocedrus decurrens,17.4,Y,D,,missing 3% of top of tree,JMP,,6.8503974,77.49768455
51,GRNCAR,04-Sep-17,2,25-30,Calocedrus decurrens,35.6,Y,H,,,JMP,,14.0157556,418.6533561
52,GRNCAR,04-Sep-17,2,25-30,Calocedrus decurrens,46.8,Y,D,,,JMP,,18.4252068,732.3158202
53,GRNCAR,04-Sep-17,2,25-30,Abies concolor,66.5,Y,H,,,JMP,,26.1811165,2634.732434
54,GRNCAR,04-Sep-17,2,30-35,Calocedrus decurrens,26.9,Y,D,,missing 3% of top of tree,JMP,,10.5905569,208.6614126
55,GRNCAR,04-Sep-17,2,30-35,Abies concolor,56.4,N,D,10,,JMP,,22.2047364,871.0310631
56,GRNCAR,04-Sep-17,2,35-40,Abies concolor,83.2,Y,H,,,JMP,,32.7559232,4593.893355
57,GRNCAR,04-Sep-17,2,35-40,Calocedrus decurrens,21.8,Y,D,,missing 3% of top of tree,JMP,,8.5826818,129.4372646
58,GRNCAR,04-Sep-17,2,35-40,Calocedrus decurrens,34.7,N,D,11,,JMP,,13.6614247,309.7088195
59,GRNCAR,04-Sep-17,2,35-40,Calocedrus decurrens,31.4,N,D,18,,JMP,,12.3622114,388.0770733
60,GRNCAR,04-Sep-17,2,35-40,Abies sp.,41.8,Y,D,,,JMP,,16.4567018,784.3883536
61,GRNCAR,04-Sep-17,2,35-40,Abies concolor,36.6,Y,H,,,JMP,,14.4094566,598.6994407
62,GRNCAR,04-Sep-17,2,35-40,Abies concolor,68.7,Y,H,,,JMP,,27.0472587,2856.349423
63,GRNCAR,04-Sep-17,2,35-40,Calocedrus decurrens,17.4,Y,D,,,JMP,,6.8503974,77.49768455
64,GRNCAR,04-Sep-17,2,40-45,Abies concolor,23.3,Y,H,,,JMP,,9.1732333,195.2287931
65,GRNCAR,04-Sep-17,2,40-45,Calocedrus decurrens,54.2,Y,H,,,JMP,,21.3385942,1082.106311
66,GRNCAR,04-Sep-17,2,40-45,Calocedrus decurrens,23.8,N,D,7,,JMP,,9.3700838,120.929219
67,GRNCAR,04-Sep-17,2,45-50,Abies concolor,74.1,Y,H,,,JMP,,29.1732441,3446.305621
68,GRNCAR,04-Sep-17,2,45-50,Calocedrus decurrens,42.6,Y,H,,,JMP,,16.7716626,628.0307492
69,GRNCAR,04-Sep-17,2,45-50,Abies concolor,15.7,Y,H,,,JMP,,6.1811057,73.29802699
70,GRNCAR,04-Sep-17,2,10-May,Calocedrus decurrens,21.2,Y,D,,missing 3% of top of tree,JMP,,8.3464612,121.4797936
71,GRNCAR,04-Sep-17,2,10-May,Calocedrus decurrens,33.1,Y,D,,missing 3% of top of tree,JMP,,13.0315031,334.0494278
72,GRNCAR,04-Sep-17,2,10-May,Abies concolor,44.7,Y,D,,,JMP,,17.5984347,926.8335022
73,GRNCAR,04-Sep-17,2,10-May,Abies concolor,17.9,N,D,11,,JMP,,7.0472479,106.2971066
74,GRNCAR,04-Sep-17,2,10-May,Calocedrus decurrens,16.3,Y,D,,,JMP,,6.4173263,66.78307512
75,GRNDAM,28-Aug-17,1,0-5,Pseudotsuga menziesii,33.7,Y,H,,,JMP,,13.2677237,580.9158824
76,GRNDAM,28-Aug-17,1,0-5,Pinus ponderosa,53.2,Y,H,,,JMP,,20.9448932,1262.481856
77,GRNDAM,28-Aug-17,1,15-Oct,Abies concolor,83.3,Y,H,,,JMP,,32.7952933,4607.606621
78,GRNDAM,28-Aug-17,1,15-Oct,Quercus kelloggii,29.4,Y,H,,,JMP,,11.5748094,501.3564054
79,GRNDAM,28-Aug-17,1,15-20,Calocedrus decurrens,28.2,Y,H,,,JMP,,11.1023682,247.2985256
80,GRNDAM,28-Aug-17,1,20-25,Abies concolor,94.8,Y,H,,,JMP,,37.3228548,6350.955876
81,GRNDAM,28-Aug-17,1,30-35,Pinus ponderosa,45.4,Y,H,,,JMP,,17.8740254,858.1598818
82,GRNDAM,28-Aug-17,1,35-40,Abies concolor,63.5,Y,H,,,JMP,,25.0000135,2349.576604
83,GRNDAM,28-Aug-17,1,35-40,Abies concolor,63,Y,H,,,JMP,,24.803163,2303.936614
84,GRNDAM,28-Aug-17,1,45-50,Pseudotsuga menziesii,24.7,N,H,7,,JMP,,9.7244147,147.4004904
85,GRNDAM,28-Aug-17,1,45-50,Abies concolor,23.3,Y,H,,,JMP,,9.1732333,195.2287931
86,GRNDAM,28-Aug-17,1,40-45,Calocedrus decurrens,18.4,Y,H,,,JMP,,7.2440984,94.25299674
87,GRNDAM,28-Aug-17,1,35-40,Pseudotsuga menziesii,81.8,Y,H,,,JMP,,32.2047418,5071.801935
88,GRNDAM,28-Aug-17,1,35-40,Pseudotsuga menziesii,51.5,Y,H,,,JMP,,20.2756015,1637.384036
89,GRNDAM,28-Aug-17,1,25-30,Pinus ponderosa,83,Y,H,,,JMP,,32.677183,3728.774834
90,GRNDAM,28-Aug-17,1,20-25,Pinus ponderosa,59.7,Y,D,,,JMP,,23.5039497,1578.050329
91,GRNDAM,28-Aug-17,1,20-25,Abies concolor,35.5,Y,H,,,JMP,,13.9763855,555.0390286
92,GRNDAM,28-Aug-17,1,20-25,Pinus ponderosa,63.4,Y,H,,,JMP,,24.9606434,1935.129554
93,GRNDAM,28-Aug-17,1,20-25,Pinus lambertiana,27.3,Y,D,,,JMP,,10.7480373,233.5132102
94,GRNDAM,28-Aug-17,1,20-25,Pinus lambertiana,28.7,Y,H,,,JMP,,11.2992187,280.9309204
95,GRNDAM,28-Aug-17,1,15-20,Pseudotsuga menziesii,26.2,Y,H,,,JMP,,10.3149662,314.0283034
96,GRNDAM,28-Aug-17,1,15-20,Pinus lambertiana,89.4,Y,H,,,JMP,,35.1968694,4468.015141
97,GRNDAM,28-Aug-17,1,15-20,Pinus ponderosa,37.9,Y,D,,,JMP,,14.9212679,520.5875594
98,GRNDAM,28-Aug-17,1,15-Oct,Calocedrus decurrens,24.2,N,D,7,,JMP,,9.5275642,124.3133519
99,GRNDAM,28-Aug-17,1,10-May,Abies concolor,21.2,Y,H,,,JMP,,8.3464612,154.4388974
100,GRNDAM,28-Aug-17,1,10-May,Abies concolor,68,Y,H,,,JMP,,26.771668,2784.674918
101,GRNDAM,28-Aug-17,1,0-5,Pseudotsuga menziesii,19.2,Y,D,,,JMP,,7.5590592,137.2971105
102,GRNDAM,28-Aug-17,1,0-5,Pseudotsuga menziesii,63.9,Y,H,,,JMP,,25.1574939,2773.900855
103,GRNDAM,29-Aug-17,2,10-May,Pseudotsuga menziesii,55.5,Y,H,,,JMP,,21.8504055,1965.755465
104,GRNDAM,29-Aug-17,2,15-Oct,Abies magnifica,53.4,Y,H,,,JMP,,21.0236334,1528.64895
105,GRNDAM,29-Aug-17,2,15-Oct,Pseudotsuga menziesii,16.8,Y,H,,,JMP,,6.6141768,106.0212249
106,GRNDAM,29-Aug-17,2,15-Oct,Quercus kelloggii,17.7,N,D,5,,JMP,,6.9685077,71.9601034
107,GRNDAM,29-Aug-17,2,15-20,Pinaceae,19.5,N,D,2.2,,JMP,,7.6771695,44.69802915
108,GRNDAM,29-Aug-17,2,15-20,Pinaceae,30.6,Y,H,,,JMP,,12.0472506,339.5365573
109,GRNDAM,29-Aug-17,2,20-25,Abies magnifica,75.2,Y,H,,,JMP,,29.6063152,3574.65256
110,GRNDAM,29-Aug-17,2,20-25,Pseudotsuga menziesii,44.8,Y,D,,,JMP,,17.6378048,1097.981623
111,GRNDAM,29-Aug-17,2,20-25,Abies magnifica,57.9,Y,H,,,JMP,,22.7952879,1868.518814
112,GRNDAM,29-Aug-17,2,20-25,Pinaceae,33.5,N,D,1.9,,JMP,,13.1889835,126.5871524
113,GRNDAM,29-Aug-17,2,25-30,Abies magnifica,70.4,Y,H,,,JMP,,27.7165504,3034.964975
114,GRNDAM,29-Aug-17,2,25-30,Pseudotsuga menziesii,22.3,Y,H,,,JMP,,8.7795323,211.8032015
115,GRNDAM,29-Aug-17,2,30-35,Pseudotsuga menziesii,61,Y,H,,,JMP,,24.015761,2476.298756
116,GRNDAM,29-Aug-17,2,30-35,Pseudotsuga menziesii,49.4,Y,H,,,JMP,,19.4488294,1479.010943
117,GRNDAM,29-Aug-17,2,30-35,Calocedrus decurrens,16.1,Y,D,,,JMP,,6.3385861,64.92984577
118,GRNDAM,29-Aug-17,2,35-40,Pinaceae,19.7,Y,D,,,JMP,,7.7559097,112.7867894
119,GRNDAM,29-Aug-17,2,40-45,Pinaceae,39.2,N,D,5,,JMP,,15.4330792,251.7927313
120,GRNDAM,29-Aug-17,2,45-50,Pinaceae,47,N,D,6,,JMP,,18.503947,390.9875121
121,GRNDAM,29-Aug-17,2,45-50,Pseudotsuga menziesii,24.9,Y,H,,,JMP,,9.8031549,277.3081874
122,GRNDAM,29-Aug-17,2,45-50,Quercus kelloggii,36.8,Y,H,,,JMP,,14.4881968,865.9289443
123,GRNDAM,29-Aug-17,2,45-50,Calocedrus decurrens,25.3,Y,H,,,JMP,,9.9606353,193.5301455
124,GRNDAM,29-Aug-17,2,40-45,Calocedrus decurrens,22,N,D,3,,JMP,,8.661422,62.94301367
125,GRNDAM,29-Aug-17,2,40-45,Pinaceae,16.4,N,D,4,,JMP,,6.4566964,43.98153208
126,GRNDAM,29-Aug-17,2,40-45,Calocedrus decurrens,15.1,Y,D,,,JMP,,5.9448851,56.09624248
127,GRNDAM,29-Aug-17,2,40-45,Calocedrus decurrens,16.3,Y,H,,,JMP,,6.4173263,71.67917159
128,GRNDAM,29-Aug-17,2,35-40,Pinus lambertiana,84.5,Y,H,,,JMP,,33.2677345,3894.989689
129,GRNDAM,29-Aug-17,2,30-35,Pinus lambertiana,62.5,Y,H,,,JMP,,24.6063125,1868.921955
130,GRNDAM,29-Aug-17,2,30-35,Abies concolor,30.4,Y,H,,,JMP,,11.9685104,377.7368875
131,GRNDAM,29-Aug-17,2,25-30,Pseudotsuga menziesii,56.6,Y,H,,,JMP,,22.2834766,2062.322297
132,GRNDAM,29-Aug-17,2,25-30,Pseudotsuga menziesii,72.5,Y,H,,,JMP,,28.5433225,3776.46537
133,GRNDAM,29-Aug-17,2,25-30,Abies concolor,33.2,Y,H,,,JMP,,13.0708732,470.0444488
134,GRNDAM,29-Aug-17,2,20-25,Pseudotsuga menziesii,59.5,Y,H,,,JMP,,23.4252095,2330.13881
135,GRNDAM,29-Aug-17,2,20-25,Pseudotsuga menziesii,20.3,Y,H,,,JMP,,7.9921303,168.3511767
136,GRNDAM,29-Aug-17,2,15-Oct,Calocedrus decurrens,18.5,Y,H,,,JMP,,7.2834685,95.41422133
137,GRNDAM,29-Aug-17,2,10-May,Pinaceae,19.9,N,D,6,,JMP,,7.8346499,80.58873009
138,GRNDAM,29-Aug-17,2,10-May,Pseudotsuga menziesii,60.8,Y,H,,,JMP,,23.9370208,2456.506873
139,GRNHOU,24-Jul-17,1,45-50,Abies concolor,23.5,Y,H,,,JMP,,9.2519735,199.4135572
140,GRNHOU,24-Jul-17,1,45-50,Abies concolor,15,Y,UH,,,JMP,,5.905515,65.45453431
141,GRNHOU,24-Jul-17,1,45-50,Calocedrus decurrens,28.1,Y,H,,,JMP,,11.0629981,245.3217531
142,GRNHOU,24-Jul-17,1,45-50,Abies concolor,31.5,Y,H,,,JMP,,12.4015815,412.5671978
143,GRNHOU,24-Jul-17,1,40-45,Abies concolor,20.7,Y,H,,,JMP,,8.1496107,145.5578735
144,GRNHOU,24-Jul-17,1,40-45,Calocedrus decurrens,33.6,Y,H,,,JMP,,13.2283536,367.3875519
145,GRNHOU,24-Jul-17,1,40-45,Calocedrus decurrens,35.2,Y,H,,,JMP,,13.8582752,408.1012518
146,GRNHOU,24-Jul-17,1,35-40,Abies concolor,36.9,Y,H,,,JMP,,14.5275669,610.9506232
147,GRNHOU,24-Jul-17,1,35-40,Quercus kelloggii,35.7,Y,H,,,JMP,,14.0551257,804.2674046
148,GRNHOU,24-Jul-17,1,35-40,Calocedrus decurrens,28.8,Y,H,,,JMP,,11.3385888,259.3452212
149,GRNHOU,24-Jul-17,1,35-40,Calocedrus decurrens,38.8,Y,H,,,JMP,,15.2755988,508.5192246
150,GRNHOU,24-Jul-17,1,30-35,Calocedrus decurrens,30.2,Y,H,,,JMP,,11.8897702,288.7024219
151,GRNHOU,24-Jul-17,1,30-35,Abies concolor,50.4,Y,H,,,JMP,,19.8425304,1324.335498
152,GRNHOU,24-Jul-17,1,30-35,Calocedrus decurrens,30.2,Y,H,,,JMP,,11.8897702,288.7024219
153,GRNHOU,24-Jul-17,1,25-30,Calocedrus decurrens,43.7,Y,H,,,JMP,,17.2047337,665.264584
154,GRNHOU,24-Jul-17,1,25-30,Calocedrus decurrens,31.3,Y,H,,,JMP,,12.3228413,313.0058893
155,GRNHOU,24-Jul-17,1,25-30,Abies concolor,39,N,D,2.8,,JMP,,15.354339,225.109713
156,GRNHOU,24-Jul-17,1,25-30,Calocedrus decurrens,15.8,Y,D,,,JMP,,6.2204758,62.20427782
157,GRNHOU,24-Jul-17,1,25-30,Calocedrus decurrens,17.4,Y,D,,,JMP,,6.8503974,77.49768455
158,GRNHOU,24-Jul-17,1,20-25,Abies concolor,16,Y,H,,,JMP,,6.299216,76.82281416
159,GRNHOU,24-Jul-17,1,20-25,Calocedrus decurrens,30.5,Y,H,,,JMP,,12.0078805,295.22215
160,GRNHOU,24-Jul-17,1,20-25,Abies concolor,40.5,Y,H,,,JMP,,15.9448905,769.7076124
161,GRNHOU,24-Jul-17,1,20-25,Abies concolor,45.5,Y,H,,,JMP,,17.9133955,1027.487073
162,GRNHOU,24-Jul-17,1,20-25,Abies concolor,54.8,Y,H,,,JMP,,21.5748148,1630.035133
163,GRNHOU,24-Jul-17,1,15-20,Pinus ponderosa,139.2,Y,H,,,JMP,,54.8031792,13132.58092
164,GRNHOU,24-Jul-17,1,15-20,Calocedrus decurrens,22.8,Y,H,,,JMP,,8.9763828,152.9907409
165,GRNHOU,24-Jul-17,1,15-20,Calocedrus decurrens,31.5,Y,H,,,JMP,,12.4015815,317.5425622
166,GRNHOU,24-Jul-17,1,15-Oct,Abies concolor,24,Y,H,,,JMP,,9.448824,210.1082291
167,GRNHOU,24-Jul-17,1,15-Oct,Abies concolor,27,Y,H,,,JMP,,10.629927,281.4316465
168,GRNHOU,24-Jul-17,1,15-Oct,Abies concolor,33.9,Y,H,,,JMP,,13.3464639,495.0219063
169,GRNHOU,24-Jul-17,1,15-Oct,Abies concolor,29.4,Y,H,,,JMP,,11.5748094,347.6513761
170,GRNHOU,24-Jul-17,1,10-May,Abies concolor,41.5,Y,H,,,JMP,,16.3385915,817.7328306
171,GRNHOU,24-Jul-17,1,10-May,Abies concolor,31.7,Y,H,,,JMP,,12.4803217,419.0977608
172,GRNHOU,24-Jul-17,1,0-5,Abies concolor,16.7,Y,H,,,JMP,,6.5748067,85.43494391
173,GRNHOU,24-Jul-17,1,0-5,Abies concolor,35.5,Y,H,,,JMP,,13.9763855,555.0390286
174,GRNHOU,24-Jul-17,1,0-5,Calocedrus decurrens,21.1,Y,H,,,JMP,,8.3070911,128.4214782
175,GRNHOU,24-Jul-17,1,0-5,Abies concolor,20.6,Y,H,,,JMP,,8.1102406,143.8192461
176,GRNHOU,24-Jul-17,1,0-5,Abies concolor,21.9,Y,H,,,JMP,,8.6220519,167.4036464
177,GRNHOU,24-Jul-17,1,0-5,Quercus kelloggii,38,Y,H,,SAME TREE AT 60,JMP,,14.960638,936.2778025
178,GRNHOU,24-Jul-17,1,0-5,Quercus kelloggii,22.3,Y,D,,SAME TREE AT 60,JMP,,8.7795323,250.1993833
179,GRNHOU,24-Jul-17,1,0-5,Abies concolor,19.3,Y,H,,,JMP,,7.5984293,122.3400895
180,GRNHOU,24-Jul-17,1,10-May,Abies concolor,23.8,Y,H,,,JMP,,9.3700838,205.7903228
181,GRNHOU,24-Jul-17,1,10-May,Abies concolor,33,Y,H,,,JMP,,12.992133,463.0494552
182,GRNHOU,24-Jul-17,1,15-Oct,Pinus ponderosa,163.9,Y,H,,,JMP,,64.5275939,19547.04918
183,GRNHOU,24-Jul-17,1,15-Oct,Abies concolor,20.9,N,D,1.85,,JMP,,8.2283509,50.484887
184,GRNHOU,24-Jul-17,1,15-Oct,Abies concolor,26,Y,H,,,JMP,,10.236226,256.2723508
185,GRNHOU,24-Jul-17,1,15-Oct,Abies concolor,29.3,Y,H,,,JMP,,11.5354393,344.7245396
186,GRNHOU,24-Jul-17,1,15-20,Pinus ponderosa,115,Y,H,,,JMP,,45.275615,8248.900843
187,GRNHOU,24-Jul-17,1,15-20,Abies concolor,20.7,Y,H,,,JMP,,8.1496107,145.5578735
188,GRNHOU,24-Jul-17,1,15-20,Abies concolor,20.2,Y,H,,,JMP,,7.9527602,136.9890252
189,GRNHOU,24-Jul-17,1,15-20,Abies concolor,18.3,Y,H,,,JMP,,7.2047283,107.2094384
190,GRNHOU,24-Jul-17,1,15-20,Abies concolor,25.5,Y,H,,,JMP,,10.0393755,244.2168869
191,GRNHOU,24-Jul-17,1,20-25,Abies concolor,29.3,Y,H,,,JMP,,11.5354393,344.7245396
192,GRNHOU,24-Jul-17,1,20-25,Abies concolor,18.6,Y,H,,,JMP,,7.3228386,111.6236725
193,GRNHOU,24-Jul-17,1,20-25,Abies concolor,34.7,Y,D,,,JMP,,13.6614247,493.5459067
194,GRNHOU,24-Jul-17,1,20-25,Abies concolor,19.1,Y,H,,,JMP,,7.5196891,119.2183439
195,GRNHOU,24-Jul-17,1,25-30,Calocedrus decurrens,15.7,Y,D,,,JMP,,6.1811057,61.31018155
196,GRNHOU,24-Jul-17,1,25-30,Calocedrus decurrens,40.8,Y,H,,,JMP,,16.0630008,569.668469
197,GRNHOU,24-Jul-17,1,30-35,Calocedrus decurrens,20.1,Y,H,,,JMP,,7.9133901,115.0798467
198,GRNHOU,24-Jul-17,1,35-40,Abies concolor,60.3,N,D,8,,JMP,,23.7401703,886.3425367
199,GRNHOU,24-Jul-17,1,35-40,Abies concolor,15.2,Y,H,,,JMP,,5.9842552,67.6415524
200,GRNHOU,24-Jul-17,1,35-40,Quercus kelloggii,20.9,Y,D,,,JMP,,8.2283509,213.5839468
201,GRNHOU,24-Jul-17,1,35-40,Quercus kelloggii,22.8,Y,H,,,JMP,,8.9763828,270.0104054
202,GRNHOU,24-Jul-17,1,35-40,Calocedrus decurrens,27.6,Y,H,,,JMP,,10.8661476,235.5703026
203,GRNHOU,24-Jul-17,1,35-40,Calocedrus decurrens,26.5,Y,H,,,JMP,,10.4330765,214.8898091
204,GRNHOU,24-Jul-17,1,40-45,Calocedrus decurrens,36.3,Y,H,,,JMP,,14.2913463,437.4815971
205,GRNHOU,24-Jul-17,1,40-45,Abies concolor,33.8,Y,H,,,JMP,,13.3070938,491.4063761
206,GRNHOU,24-Jul-17,1,40-45,Abies concolor,17.2,N,D,3,,JMP,,6.7716572,41.55279049
207,GRNHOU,24-Jul-17,1,45-50,Abies concolor,21.3,Y,H,,,JMP,,8.3858313,156.2528815
208,GRNHOU,24-Jul-17,1,45-50,Pinus ponderosa,190.2,Y,H,,,JMP,,74.8819302,28083.58772
209,GRNHOU,24-Jul-17,1,45-50,Abies concolor,18.2,Y,D,,,JMP,,7.1653582,98.74166479
210,GRNHOU,24-Jul-17,1,45-50,Abies concolor,22,Y,H,,,JMP,,8.661422,169.3068491
211,GRNHOU,24-Jul-17,1,45-50,Abies concolor,31,Y,H,,,JMP,,12.204731,396.507854
212,GRNHOU,25-Jul-17,2,45-50,Abies magnifica,17,Y,H,,,JMP,,6.692917,89.29411569
213,GRNHOU,25-Jul-17,2,45-50,Abies concolor,50.3,Y,D,,,JMP,,19.8031603,1243.060878
214,GRNHOU,25-Jul-17,2,45-50,Abies concolor,16,Y,H,,,JMP,,6.299216,76.82281416
215,GRNHOU,25-Jul-17,2,40-45,Abies concolor,20.3,Y,H,,,JMP,,7.9921303,138.6779955
216,GRNHOU,25-Jul-17,2,40-45,Abies concolor,21.2,Y,H,,,JMP,,8.3464612,154.4388974
217,GRNHOU,25-Jul-17,2,30-35,Abies concolor,34.1,Y,D,,,JMP,,13.4252041,472.5728555
218,GRNHOU,25-Jul-17,2,30-35,Abies concolor,27.5,Y,D,,,JMP,,10.8267775,276.5520357
219,GRNHOU,25-Jul-17,2,30-35,Pinus ponderosa,37,Y,H,,,JMP,,14.566937,521.4555446
220,GRNHOU,25-Jul-17,2,30-35,Calocedrus decurrens,105.7,Y,H,,,JMP,,41.6141957,4893.380116
221,GRNHOU,25-Jul-17,2,15-20,Calocedrus decurrens,74.8,Y,H,,,JMP,,29.4488348,2240.46019
222,GRNHOU,25-Jul-17,2,10-May,Calocedrus decurrens,81.3,Y,H,,,JMP,,32.0078913,2704.55179
223,GRNHOU,25-Jul-17,2,10-May,Abies concolor,18.5,N,D,1.6,,JMP,,7.2834685,36.86615524
224,GRNHOU,25-Jul-17,2,0-5,Quercus kelloggii,29.4,Y,H,,,JMP,,11.5748094,501.3564054
225,GRNHOU,25-Jul-17,2,0-5,Abies concolor,19,Y,D,,,JMP,,7.480319,109.9452539
226,GRNHOU,25-Jul-17,2,0-5,Quercus kelloggii,42.6,Y,H,,,JMP,,16.7716626,1236.529103
227,GRNHOU,25-Jul-17,2,10-May,Calocedrus decurrens,82.7,Y,H,,,JMP,,32.5590727,2810.911607
228,GRNHOU,25-Jul-17,2,10-May,Abies concolor,16,Y,H,,,JMP,,6.299216,76.82281416
229,GRNHOU,25-Jul-17,2,15-Oct,Calocedrus decurrens,78.7,Y,H,,,JMP,,30.9842687,2513.071569
