Site,Date,Transect,Meter,Species,Shrub_or_Tree,Height_cm,Width_cm,Length_cm,Tree DBH_cm,Comments,Entered by,Review comment
GRNHOU,25-Jul-17,2,45-50,Abies concolor,Tree,,,,6.3,,AMM,
GRNHOU,25-Jul-17,2,40-45,Abies concolor,Tree,,,,3.4,,AMM,
GRNHOU,25-Jul-17,2,35-40,Calocedrus decurrens,Tree,,,,3.4,,AMM,
GRNHOU,25-Jul-17,2,30-35,Pinus ponderosa,Tree,,,,9.4,,AMM,
GRNHOU,25-Jul-17,2,30-35,Pinus ponderosa,Tree,,,,7.1,,AMM,
GRNHOU,25-Jul-17,2,15-20,Calocedrus decurrens,Tree,,,,10.7,,AMM,
GRNHOU,25-Jul-17,2,15-20,Abies concolor,Tree,,,,4.9,,AMM,
GRNHOU,25-Jul-17,2,15-Oct,Abies concolor,Tree,,,,8.4,,AMM,
GRNHOU,25-Jul-17,2,15-20,Abies concolor,Tree,,,,7.6,,AMM,
GRNHOU,25-Jul-17,2,25-30,Abies concolor,Tree,,,,5,,AMM,
GRNHOU,25-Jul-17,2,40-45,Calocedrus decurrens,Tree,,,,12.5,,AMM,
GRNHOU,25-Jul-17,2,40-45,Calocedrus decurrens,Tree,,,,6.5,,AMM,
GRNHOU,25-Jul-17,2,40-45,Calocedrus decurrens,Tree,,,,5.4,,AMM,
GRNKAN,31-Jul-17,1,10-May,Quercus kelloggii,Shrub,72,53,100,,measured like shrub,AMM,
GRNKAN,31-Jul-17,1,15-Oct,Quercus kelloggii,Shrub,85,95,82,,measured like shrub,AMM,
GRNKAN,31-Jul-17,1,15-Oct,Ceanothus integerrimus,Shrub,330,220,240,,,AMM,
GRNKAN,31-Jul-17,1,15-Oct,Quercus kelloggii,Shrub,78,95,66,,measured like shrub,AMM,
GRNKAN,31-Jul-17,1,15-20,Ceanothus integerrimus,Shrub,330,450,220,,,AMM,
GRNKAN,31-Jul-17,1,25-30,Chamaebatia foliolosa,Shrub,45,120,97,,,AMM,
GRNKAN,31-Jul-17,1,45-50,Abies concolor,Tree,350,,,NA,measured like shrub,AMM,Use height directly rather than DBH
GRNKAN,31-Jul-17,1,20-25,Chamaebatia foliolosa,Shrub,25,40,80,,,AMM,
GRNKAN,31-Jul-17,1,20-25,Quercus kelloggii,Shrub,90,80,90,,measured like shrub,AMM,
GRNKAN,31-Jul-17,1,20-25,Quercus kelloggii,Shrub,300,100,200,,measured like shrub,AMM,
GRNKAN,31-Jul-17,1,20-25,Chamaebatia foliolosa,Shrub,26,50,160,,,AMM,
GRNKAN,31-Jul-17,1,15-20,Quercus kelloggii,Shrub,200,100,120,,measured like shrub,AMM,
GRNKAN,31-Jul-17,1,15-Oct,Ceanothus integerrimus,Shrub,350,350,300,,,AMM,
GRNKAN,31-Jul-17,1,15-Oct,Ceanothus integerrimus,Shrub,300,200,500,,,AMM,
GRNKAN,31-Jul-17,2,15-20,Arctostaphylos viscida,Shrub,95,180,300,,,AMM,
GRNKAN,31-Jul-17,2,20-25,Quercus kelloggii,Shrub,105,60,80,,measured like shrub,AMM,
GRNKAN,31-Jul-17,2,30-35,Quercus kelloggii,Shrub,550,300,280,,measured like shrub,AMM,
GRNKAN,31-Jul-17,2,10-May,Quercus kelloggii,Shrub,81,162,95,,measured like shrub,AMM,
GRNMAS,15-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,100,190,210,,,AMM,
GRNMAS,15-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,85,110,130,,,AMM,
GRNMAS,15-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,115,200,380,,,AMM,
GRNMAS,15-Aug-17,1,25-30,Ceanothus cordulatus,Shrub,115,270,280,,,AMM,
GRNMAS,15-Aug-17,1,25-30,Calocedrus decurrens,Tree,,,,2.7,,AMM,
GRNMAS,15-Aug-17,1,25-30,Abies concolor,Tree,,,,9.6,,AMM,
GRNMAS,15-Aug-17,1,25-30,Abies concolor,Tree,,,,3.5,,AMM,
GRNMAS,15-Aug-17,1,25-30,Abies concolor,Tree,,,,1.4,,AMM,
GRNMAS,15-Aug-17,1,25-30,Calocedrus decurrens,Tree,,,,1.6,,AMM,
GRNMAS,15-Aug-17,1,30-35,Calocedrus decurrens,Tree,,,,7.9,,AMM,
GRNMAS,15-Aug-17,2,20-25,Arctostaphylos patula,Shrub,130,160,150,,,AMM,
GRNMAS,15-Aug-17,2,20-25,Arctostaphylos patula,Shrub,133,330,220,,,AMM,
GRNMAS,15-Aug-17,2,20-25,Arctostaphylos patula,Shrub,145,360,300,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,115,175,85,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,180,150,130,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,130,160,40,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Chamaebatia foliolosa,Shrub,30,160,140,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,210,140,220,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Chamaebatia foliolosa,Shrub,47,150,240,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,150,140,165,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,140,130,155,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Chamaebatia foliolosa,Shrub,60,155,200,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,160,110,60,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,180,180,160,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,200,250,210,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,200,135,60,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,215,180,120,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,170,140,130,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,145,145,160,,,AMM,
GRNMAS,15-Aug-17,2,40-45,Arctostaphylos patula,Shrub,50,110,40,,,AMM,
GRNMAS,15-Aug-17,2,35-40,Arctostaphylos patula,Shrub,80,65,45,,,AMM,
GRNMAS,15-Aug-17,2,25-30,Arctostaphylos patula,Shrub,140,280,310,,,AMM,
GRNMAS,15-Aug-17,2,20-25,Arctostaphylos patula,Shrub,135,250,150,,,AMM,
GRNMAS,15-Aug-17,2,20-25,Arctostaphylos patula,Shrub,120,145,180,,,AMM,
GRNMAS,15-Aug-17,2,20-25,Arctostaphylos patula,Shrub,130,230,300,,,AMM,
GRNMAS,15-Aug-17,2,45-50,Abies magnifica,Tree,,,,2.1,,AMM,
GRNMAS,15-Aug-17,2,45-50,Calocedrus decurrens,Tree,,,,10.9,,AMM,
GRNMAS,15-Aug-17,2,40-45,Abies magnifica,Tree,,,,10.8,,AMM,
GRNMAS,15-Aug-17,2,45-50,Calocedrus decurrens,Tree,,,,2.3,,AMM,
GRNMAS,15-Aug-17,2,45-50,Calocedrus decurrens,Tree,,,,3.7,,AMM,
GRNMAS,15-Aug-17,2,40-45,Abies magnifica,Tree,,,,3.9,,AMM,
GRNMAS,15-Aug-17,2,35-40,Abies concolor,Tree,,,,10.2,,AMM,
GRNMAS,15-Aug-17,2,35-40,Abies concolor,Tree,,,,9,,AMM,
GRNMAS,15-Aug-17,2,30-35,Abies magnifica,Tree,,,,3.4,,AMM,
GRNQUA,7-Aug-17,1,0-5,Ceanothus integerrimus,Shrub,121,110,180,,,AMM,
GRNQUA,7-Aug-17,1,0-5,Ribes roezlii,Shrub,55,120,165,,,AMM,
GRNQUA,7-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,120,150,210,,,AMM,
GRNQUA,7-Aug-17,1,20-25,Ribes roezlii,Shrub,48,70,80,,,AMM,
GRNQUA,7-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,125,250,120,,,AMM,
GRNQUA,7-Aug-17,1,20-25,Ribes roezlii,Shrub,40,160,100,,,AMM,
GRNQUA,7-Aug-17,1,20-25,Ceanothus cordulatus,Shrub,170,250,180,,,AMM,
GRNQUA,7-Aug-17,1,25-30,Ceanothus cordulatus,Shrub,165,150,100,,,AMM,
GRNQUA,7-Aug-17,1,25-30,Ribes roezlii,Shrub,40,80,90,,,AMM,
GRNQUA,7-Aug-17,1,25-30,Ceanothus cordulatus,Shrub,100,250,180,,,AMM,
GRNQUA,7-Aug-17,1,30-35,Ceanothus cordulatus,Shrub,150,250,460,,,AMM,
GRNQUA,7-Aug-17,1,30-35,Arctostaphylos patula,Shrub,160,180,170,,,AMM,
GRNQUA,7-Aug-17,1,30-35,Ceanothus cordulatus,Shrub,90,250,160,,,AMM,
GRNQUA,7-Aug-17,1,35-40,Abies sp.,Tree,,,,3,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,1,35-40,Abies sp.,Tree,,,,7,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,1,35-40,Abies sp.,Tree,,,,2,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,1,35-40,Abies sp.,Tree,,,,3,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,1,35-40,Abies sp.,Tree,,,,2,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,1,35-40,Abies sp.,Tree,,,,2,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,1,35-40,Abies sp.,Tree,,,,3,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,150,250,450,,,AMM,
GRNQUA,7-Aug-17,1,40-45,Abies sp.,Tree,,,,4,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,1,40-45,Ceanothus cordulatus,Shrub,150,250,170,,,AMM,
GRNQUA,7-Aug-17,1,40-45,Unknown,Shrub,40,250,270,,,AMM,
GRNQUA,7-Aug-17,1,45-50,Ceanothus cordulatus,Shrub,200,250,300,,,AMM,
GRNQUA,7-Aug-17,1,45-50,Unknown,Shrub,25,30,80,,,AMM,
GRNQUA,7-Aug-17,1,45-50,Ceanothus cordulatus,Shrub,180,250,300,,,AMM,
GRNQUA,7-Aug-17,1,40-45,Ribes roezlii,Shrub,97,20,140,,,AMM,
GRNQUA,7-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,165,200,160,,,AMM,
GRNQUA,7-Aug-17,1,35-40,Ribes roezlii,Shrub,70,150,30,,,AMM,
GRNQUA,7-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,150,250,400,,,AMM,
GRNQUA,7-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,130,250,165,,,AMM,
GRNQUA,7-Aug-17,1,35-40,Ceanothus cordulatus,Shrub,160,250,470,,,AMM,
GRNQUA,7-Aug-17,1,25-30,Unknown,Shrub,30,100,160,,,AMM,
GRNQUA,7-Aug-17,1,25-30,Abies sp.,Tree,,,,4,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,1,15-20,Unknown,Shrub,63,160,110,,,AMM,
GRNQUA,7-Aug-17,1,0-5,Ribes roezlii,Shrub,23,250,160,,,AMM,
GRNQUA,7-Aug-17,2,0-5,Ceanothus cordulatus,Shrub,100,250,500,,,AMM,
GRNQUA,7-Aug-17,2,0-5,Ribes roezlii,Shrub,80,20,60,,,AMM,
GRNQUA,7-Aug-17,2,25-30,Ribes roezlii,Shrub,40,180,250,,,AMM,
GRNQUA,7-Aug-17,2,25-30,Frangula rubra,Shrub,200,150,250,,,AMM,
GRNQUA,7-Aug-17,2,30-35,Ribes roezlii,Shrub,50,70,70,,,AMM,
GRNQUA,7-Aug-17,2,30-35,Abies sp.,Tree,,,,3,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Abies sp.,Tree,,,,10,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Abies sp.,Tree,,,,12,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Abies sp.,Tree,,,,5,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Abies sp.,Tree,,,,4,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Abies sp.,Tree,,,,1,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Abies sp.,Tree,,,,1,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Abies sp.,Tree,,,,1,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Abies sp.,Tree,,,,6,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Abies sp.,Tree,,,,5,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Ribes roezlii,Shrub,55,90,30,,,AMM,
GRNQUA,7-Aug-17,2,30-35,Ribes roezlii,Shrub,50,70,20,,,AMM,
GRNQUA,7-Aug-17,2,35-40,Ribes roezlii,Shrub,40,100,60,,,AMM,
GRNQUA,7-Aug-17,2,35-40,Frangula rubra,Shrub,160,100,40,,,AMM,
GRNQUA,7-Aug-17,2,35-40,Ceanothus cordulatus,Shrub,40,160,120,,,AMM,
GRNQUA,7-Aug-17,2,40-45,Frangula rubra,Shrub,100,110,50,,,AMM,
GRNQUA,7-Aug-17,2,40-45,Ceanothus cordulatus,Shrub,110,140,80,,,AMM,
GRNQUA,7-Aug-17,2,40-45,Frangula rubra,Shrub,70,40,30,,,AMM,
GRNQUA,7-Aug-17,2,40-45,Frangula rubra,Shrub,110,180,40,,,AMM,
GRNQUA,7-Aug-17,2,45-50,Ceanothus cordulatus,Shrub,70,180,160,,,AMM,
GRNQUA,7-Aug-17,2,45-50,Frangula rubra,Shrub,30,80,15,,,AMM,
GRNQUA,7-Aug-17,2,45-50,Ribes roezlii,Shrub,50,150,60,,,AMM,
GRNQUA,7-Aug-17,2,45-50,Abies sp.,Tree,,,,5,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,45-50,Abies sp.,Tree,,,,1,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,45-50,Frangula rubra,Shrub,190,40,210,,,AMM,
GRNQUA,7-Aug-17,2,40-45,Ribes roezlii,Shrub,60,100,80,,,AMM,
GRNQUA,7-Aug-17,2,40-45,Ceanothus cordulatus,Shrub,160,80,140,,,AMM,
GRNQUA,7-Aug-17,2,35-40,Abies sp.,Tree,,,,5,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,35-40,Ribes viscosissimum,Shrub,50,160,40,,,AMM,
GRNQUA,7-Aug-17,2,35-40,Ceanothus cordulatus,Shrub,60,100,250,,,AMM,
GRNQUA,7-Aug-17,2,35-40,Ribes viscosissimum,Shrub,30,60,40,,,AMM,
GRNQUA,7-Aug-17,2,35-40,Abies sp.,Tree,,,,8,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,35-40,Abies sp.,Tree,,,,2,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,35-40,Abies sp.,Tree,,,,7,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,35-40,Abies sp.,Tree,,,,1,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Abies sp.,Tree,,,,2,,AMM,height/length deleted; available on data sheet
GRNQUA,7-Aug-17,2,30-35,Frangula rubra,Shrub,230,160,80,,,AMM,
GRNQUA,7-Aug-17,2,30-35,Ribes roezlii,Shrub,30,150,60,,,AMM,
GRNQUA,7-Aug-17,2,30-35,Frangula rubra,Shrub,90,50,30,,,AMM,
GRNQUA,7-Aug-17,2,30-35,Ribes roezlii,Shrub,50,60,70,,,AMM,
GRNQUA,7-Aug-17,2,25-30,Frangula rubra,Shrub,55,35,20,,,AMM,
GRNQUA,7-Aug-17,2,15-Oct,Ribes roezlii,Shrub,35,50,35,,,AMM,
GRNQUA,7-Aug-17,2,10-May,Ribes roezlii,Shrub,30,60,50,,,AMM,
GRNQUA,7-Aug-17,2,10-May,Frangula rubra,Shrub,90,140,100,,,AMM,
GRNQUA,7-Aug-17,2,10-May,Ribes roezlii,Shrub,55,100,250,,,AMM,
GRNQUA,7-Aug-17,2,0-5,Ceanothus cordulatus,Shrub,70,250,500,,,AMM,
GRNSNO,17-Jul-17,1,45-50,Frangula rubra,Shrub,120,50,65,,,AMM,
GRNSNO,17-Jul-17,1,45-50,Frangula rubra,Shrub,123,58,65,,,AMM,
GRNSNO,17-Jul-17,1,45-50,Frangula rubra,Shrub,120,70,205,,,AMM,
GRNSNO,17-Jul-17,1,45-50,Frangula rubra,Shrub,68,35,30,,,AMM,
GRNSNO,17-Jul-17,1,40-45,Pinus contorta ssp. Murrayana,Tree,,,,13.5,,AMM,height/length deleted; available on data sheet
GRNSNO,17-Jul-17,1,40-45,Ceanothus cordulatus,Shrub,160,120,280,,,AMM,
GRNSNO,17-Jul-17,1,40-45,Ceanothus cordulatus,Shrub,160,240,270,,,AMM,
GRNSNO,17-Jul-17,1,35-40,Sequoiadendron giganteum,Tree,,,,8,,AMM,
GRNSNO,17-Jul-17,1,35-40,Calocedrus decurrens,Tree,,,,4.6,weird growth angle,AMM,height/length deleted; available on data sheet
GRNSNO,17-Jul-17,1,35-40,Ceanothus cordulatus,Shrub,155,155,160,,,AMM,
GRNSNO,17-Jul-17,1,35-40,Ceanothus cordulatus,Shrub,130,190,205,,,AMM,
GRNSNO,17-Jul-17,1,35-40,Ceanothus cordulatus,Shrub,150,250,415,,,AMM,
GRNSNO,17-Jul-17,1,35-40,Abies magnifica,Tree,,,,12,,AMM,
GRNSNO,17-Jul-17,1,35-40,Ribes sp.,Shrub,29,23,55,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Abies concolor,Tree,,,,9.2,,AMM,
GRNSNO,17-Jul-17,1,30-35,Abies concolor,Tree,,,,4,,AMM,
GRNSNO,17-Jul-17,1,30-35,Abies magnifica,Tree,,,,7.6,,AMM,
GRNSNO,17-Jul-17,1,30-35,Abies magnifica,Tree,,,,10.5,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,37,20,58,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,55,65,110,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,49,60,195,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,50,80,50,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,61,44,58,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,52,134,95,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ceanothus cordulatus,Shrub,101,140,192,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,33,89,56,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,45,24,75,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,45,50,141,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,60,35,33,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,32,52,103,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,45,20,60,,,AMM,
GRNSNO,17-Jul-17,1,30-35,Abies concolor,Tree,,,,13.6,,AMM,
GRNSNO,17-Jul-17,1,30-35,Abies concolor,Tree,,,,14.5,,AMM,
GRNSNO,17-Jul-17,1,30-35,Abies magnifica,Tree,,,,10.1,,AMM,
GRNSNO,17-Jul-17,1,30-35,Calocedrus decurrens,Tree,,,,9.4,,AMM,
GRNSNO,17-Jul-17,1,30-35,Calocedrus decurrens,Tree,,,,5,,AMM,
GRNSNO,17-Jul-17,1,30-35,Ribes sp.,Shrub,39,60,95,,,AMM,
GRNSNO,17-Jul-17,1,25-30,Ribes sp.,Shrub,46,49,52,,,AMM,
GRNSNO,17-Jul-17,1,25-30,Ribes sp.,Shrub,44,95,97,,,AMM,
GRNSNO,17-Jul-17,1,25-30,Ceanothus cordulatus,Shrub,145,280,370,,,AMM,
GRNSNO,17-Jul-17,1,25-30,Ribes sp.,Shrub,45,42,80,,,AMM,
GRNSNO,17-Jul-17,1,25-30,Ribes sp.,Shrub,44,55,52,,,AMM,
GRNSNO,17-Jul-17,1,25-30,Ribes sp.,Shrub,40,47,55,,,AMM,
GRNSNO,17-Jul-17,1,25-30,Ribes sp.,Shrub,25,17,52,,,AMM,
GRNSNO,17-Jul-17,1,25-30,Ribes sp.,Shrub,30,37,57,,,AMM,
GRNSNO,17-Jul-17,1,25-30,Pinus ponderosa,Tree,,,,2.6,,AMM,
GRNSNO,17-Jul-17,1,25-30,Calocedrus decurrens,Tree,,,,11.1,,AMM,
GRNSNO,17-Jul-17,1,25-30,Calocedrus decurrens,Tree,,,,1.5,,AMM,
GRNSNO,17-Jul-17,1,25-30,Pinus monticola,Tree,,,,7,,AMM,
GRNSNO,17-Jul-17,1,20-25,Pinus monticola,Tree,,,,4.4,,AMM,
GRNSNO,17-Jul-17,1,20-25,Calocedrus decurrens,Tree,,,,8.5,,AMM,
GRNSNO,17-Jul-17,1,20-25,Pinus monticola,Tree,,,,4,,AMM,
GRNSNO,17-Jul-17,1,20-25,Pinus ponderosa,Tree,,,,2.9,,AMM,
GRNSNO,17-Jul-17,1,20-25,Pinus monticola,Tree,,,,3.5,,AMM,
GRNSNO,17-Jul-17,1,20-25,Pinus monticola,Tree,,,,2.2,,AMM,
GRNSNO,17-Jul-17,1,20-25,Abies magnifica,Tree,,,,5.2,,AMM,
GRNSNO,17-Jul-17,1,20-25,Abies magnifica,Tree,,,,7.8,,AMM,
GRNSNO,17-Jul-17,1,20-25,Ceanothus cordulatus,Shrub,115,180,225,,,AMM,
GRNSNO,17-Jul-17,1,20-25,Ceanothus cordulatus,Shrub,160,310,320,,,AMM,
GRNSNO,17-Jul-17,1,15-20,Abies magnifica,Tree,,,,6.1,,AMM,
GRNSNO,17-Jul-17,1,15-20,Abies concolor,Tree,,,,2.1,,AMM,
GRNSNO,17-Jul-17,1,15-20,Abies magnifica,Tree,,,,3.7,,AMM,
GRNSNO,17-Jul-17,1,15-20,Abies magnifica,Tree,,,,6,,AMM,
GRNSNO,17-Jul-17,1,15-20,Ribes sp.,Shrub,29,55,50,,,AMM,
GRNSNO,17-Jul-17,1,15-20,Ceanothus fresnensis,Shrub,75,119,86,,,AMM,
GRNSNO,17-Jul-17,1,15-20,Calocedrus decurrens,Tree,,,,4.6,,AMM,
GRNSNO,17-Jul-17,1,15-Oct,Ribes sp.,Shrub,30,45,112,,,AMM,
GRNSNO,17-Jul-17,1,15-Oct,Ribes sp.,Shrub,48,140,95,,,AMM,
GRNSNO,17-Jul-17,1,15-Oct,Abies concolor,Tree,,,,4.3,,AMM,
GRNSNO,17-Jul-17,1,15-Oct,Abies concolor,Tree,,,,4,,AMM,
