Site,Transect,Meter,Raw_data_entry,Species,Type,cover,Max_height_cm,Avg_height_cm,Comments,Entered by,Daniel
GRNCAR,1,20,Soft Loose Litter,BLANK,Soft loose litter,30,1,1,,JMP,
GRNCAR,1,20,Soft Rooted Litter,BLANK,Soft rooted litter,6,3,3,,JMP,
GRNCAR,1,25,Quercus kelloggii Seedling,Quercus kelloggii,Tree,4,18,18,seedling,JMP,
GRNCAR,1,25,Soft Loose Litter,BLANK,Soft loose litter,5,1,1,,JMP,
GRNCAR,1,25,Woody Litter,BLANK,Woody litter,90,25,3,,JMP,
GRNCAR,1,25,Bare Ground ,BLANK,Bare Ground,5,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,1,30,Soft Loose Litter,BLANK,Soft loose litter,80,3,1,,JMP,
GRNCAR,1,30,Woody Litter,BLANK,Woody litter,15,2,1,,JMP,
GRNCAR,1,30,Bare Ground ,BLANK,Bare Ground,5,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,1,35,Woody Litter,BLANK,Woody litter,60,3,1,,JMP,
GRNCAR,1,35,Soft Loose Litter,BLANK,Soft loose litter,35,3,2,,JMP,
GRNCAR,1,35,Bare Ground ,BLANK,Bare Ground,5,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,1,40,Soft Loose Litter,BLANK,Soft loose litter,53,2,1,,JMP,
GRNCAR,1,40,Woody Litter,BLANK,Woody litter,45,4,1,,JMP,
GRNCAR,1,40,Bare Ground ,BLANK,Bare Ground,2,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,1,45,symphoricarpos mollis,Symphoricarpos mollis,Shrub,3,5,5,,JMP,
GRNCAR,1,45,Soft Loose Litter,BLANK,Soft loose litter,27,1,1,,JMP,
GRNCAR,1,45,Soft Rooted Litter,BLANK,Soft rooted litter,3,2,2,,JMP,
GRNCAR,1,45,Woody Litter,BLANK,Woody litter,70,4,1,,JMP,
GRNCAR,2,0,Soft Loose Litter,BLANK,Soft loose litter,35,5,13,,JMP,
GRNCAR,2,0,Woody Litter,BLANK,Woody litter,45,5,3,,JMP,
GRNCAR,2,0,Bare Ground ,BLANK,Bare Ground,20,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,2,5,Woody Litter,BLANK,Woody litter,25,5,3,,JMP,
GRNCAR,2,5,Soft Loose Litter,BLANK,Soft loose litter,72,2,1,,JMP,
GRNCAR,2,5,Bare Ground ,BLANK,Bare Ground,3,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,2,5,Abies sp.,Abies sp.,Tree,5,700,700,,JMP,
GRNCAR,2,10,Quercus kelloggii Sapling,Quercus kelloggii,Tree,1,9,9,Sapling,JMP,
GRNCAR,2,10,Woody Litter,BLANK,Woody litter,20,5,3,,JMP,
GRNCAR,2,10,Soft Loose Litter,BLANK,Soft loose litter,80,6,5,,JMP,
GRNCAR,2,15,Woody Litter,BLANK,Woody litter,40,55,25,,JMP,
GRNCAR,2,15,Soft Loose Litter,BLANK,Soft loose litter,55,5,4,,JMP,
GRNCAR,2,15,Bare Ground ,BLANK,Bare Ground,5,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,2,20,Ribes roezlii,Ribes roezlii,Shrub,1,10,8,,JMP,"In cover, T was replaced by 1"
GRNCAR,2,20,Woody Litter,BLANK,Woody litter,25,10,4,,JMP,
GRNCAR,2,20,Soft Loose Litter,BLANK,Soft loose litter,72,8,5,,JMP,
GRNCAR,2,20,Bare Ground ,BLANK,Bare Ground,3,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,2,25,Woody Litter,BLANK,Woody litter,20,5,4,,JMP,
GRNCAR,2,25,Soft Loose Litter,BLANK,Soft loose litter,80,8,5,,JMP,
GRNCAR,2,30,Woody Litter,BLANK,Woody litter,50,6,4,,JMP,
GRNCAR,2,30,Soft Loose Litter,BLANK,Soft loose litter,50,8,5,,JMP,
GRNCAR,2,35,Quercus kelloggii Sapling,Quercus kelloggii,Tree,1,19,19,Sapling,JMP,
GRNCAR,2,35,Woody Litter,BLANK,Woody litter,33,8,4,,JMP,
GRNCAR,2,35,Soft Loose Litter,BLANK,Soft loose litter,63,6,5,,JMP,
GRNCAR,2,35,Bare Ground ,BLANK,Bare Ground,3,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,2,40,Woody Litter,BLANK,Woody litter,30,6,4,,JMP,
GRNCAR,2,40,Bare Ground ,BLANK,Bare Ground,3,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNCAR,2,40,Soft Loose Litter,BLANK,Soft loose litter,67,9,7,,JMP,
GRNCAR,2,45,calocedrus decurrens Sapling,Calocedrus decurrens,Tree,2,25,25,Seedling,JMP,
GRNCAR,2,45,Woody Litter,BLANK,Woody litter,25,5,3,,JMP,
GRNCAR,2,45,Soft Loose Litter,BLANK,Soft loose litter,73,7,4,,JMP,
GRNDAM,1,0,Woody Litter,BLANK,Woody litter,30,6,2,,JMP,
GRNDAM,1,0,Soft Loose Litter,BLANK,Soft loose litter,70,7,5,,JMP,
GRNDAM,1,5,Woody Litter,BLANK,Woody litter,27,12,9,,JMP,
GRNDAM,1,5,Soft Loose Litter,BLANK,Soft loose litter,73,9,7,,JMP,
GRNDAM,1,10,Oregon grape,Mahonia aquifolium,Shrub,3,35,30,UNKNOWN,JMP,
GRNDAM,1,10,calocedrus decurrens Sapling,Calocedrus decurrens,Tree,2,59,45,Seedling,JMP,
GRNDAM,1,10,Woody Litter,BLANK,Woody litter,60,18,4,,JMP,
GRNDAM,1,10,Soft Loose Litter,BLANK,Soft loose litter,40,10,7,,JMP,
GRNDAM,1,15,Tree-dead,UNKNOWN,Tree,25,100,100,Pinaceae spp. (conifer/pine),JMP,"In Max_height_cm and Avg_height_cm, >100 was replaced by 100"
GRNDAM,1,15,Oregon grape,Mahonia aquifolium,Shrub,1,7,5,UNKNOWN,JMP,"In cover, T was replaced by 1"
GRNDAM,1,15,Woody Litter,BLANK,Woody litter,30,11,3,,JMP,
GRNDAM,1,15,Soft Loose Litter,BLANK,Soft loose litter,45,12,9,,JMP,
GRNDAM,1,20,Woody Litter,BLANK,Woody litter,25,9,4,,JMP,
GRNDAM,1,20,Soft Loose Litter,BLANK,Soft loose litter,74,12,10,,JMP,
GRNDAM,1,20,Rock,BLANK,Rocks,1,5,4,,JMP,
GRNDAM,1,25,chimaphila umbellata,Chimaphila umbellata,Dominant forb,2,15,12,,JMP,
GRNDAM,1,25,Forbs,BLANK,Forbs,1,5,3,,JMP,"In cover, T was replaced by 1"
GRNDAM,1,25,Woody Litter,BLANK,Woody litter,12,7,4,,JMP,
GRNDAM,1,25,Soft Loose Litter,BLANK,Soft loose litter,88,13,10,,JMP,
GRNDAM,1,30,chimaphila umbellata,Chimaphila umbellata,Dominant forb,1,15,10,,JMP,
GRNDAM,1,30,Forbs,BLANK,Forbs,1,3,3,,JMP,"In cover, T was replaced by 1"
GRNDAM,1,30,Abies concolor Sapling,Abies concolor,Tree,25,94,75,seedling,JMP,
GRNDAM,1,30,calocedrus decurrens Sapling,Calocedrus decurrens,Tree,3,43,25,Seedling,JMP,
GRNDAM,1,30,Abies concolor Seedling,Abies concolor,Tree,2,32,22,seedling,JMP,
GRNDAM,1,30,Woody Litter,BLANK,Woody litter,27,11,5,,JMP,
GRNDAM,1,30,Soft Loose Litter,BLANK,Soft loose litter,73,11,10,,JMP,
GRNDAM,1,30,calocedrus decurrens Sapling,Calocedrus decurrens,Tree,12,100,100,Seedling,JMP,"In Max_height_cm and Avg_height_cm, >100 was replaced by 100"
GRNDAM,1,35,Grasses,BLANK,Grass,1,48,20,,JMP,
GRNDAM,1,35,Woody Litter,BLANK,Woody litter,32,30,13,,JMP,
GRNDAM,1,35,Soft Loose Litter,BLANK,Soft loose litter,68,13,11,,JMP,
GRNDAM,1,40,chimaphila umbellata,Chimaphila umbellata,Dominant forb,2,22,12,,JMP,
GRNDAM,1,40,Woody Litter,BLANK,Woody litter,40,8,2,,JMP,
GRNDAM,1,40,Soft Loose Litter,BLANK,Soft loose litter,59,8,4,,JMP,
GRNDAM,1,40,Rock,BLANK,Rocks,1,3,2,,JMP,
GRNDAM,1,45,chimaphila embilada,Chimaphila umbellata,Dominant forb,1,5,4,,JMP,"In cover, T was replaced by 1"
GRNDAM,1,45,Pinaceae sp seedling,Pinaceae,Tree,1,12,11,Seedling,JMP,"In cover, T was replaced by 1"
GRNDAM,1,45,Woody Litter,BLANK,Woody litter,26,25,15,,JMP,
GRNDAM,1,45,Soft Loose Litter,BLANK,Soft loose litter,65,6,3,,JMP,
GRNDAM,1,45,Rock,BLANK,Rocks,9,4,1,,JMP,
GRNDAM,2,0,Woody Litter,BLANK,Woody litter,18,13,5,,JMP,
GRNDAM,2,0,Soft Loose Litter,BLANK,Soft loose litter,82,5,3,,JMP,
GRNDAM,2,5,chimaphila embilada,Chimaphila umbellata,Dominant forb,1,10,7,,JMP,
GRNDAM,2,5,Pinaceae sp seedling,Pinaceae,Tree,1,6,6,Seedling,JMP,"In cover, T was replaced by 1"
GRNDAM,2,5,calocedrus decurrens ,Calocedrus decurrens,Tree,3,100,95,,JMP,"In Max_height_cm , >100 was replaced by 100"
GRNDAM,2,5,Soft Rooted Litter,BLANK,Soft rooted litter,1,1,1,,JMP,
GRNDAM,2,5,Woody Litter,BLANK,Woody litter,23,12,1,,JMP,
GRNDAM,2,5,Soft Loose Litter,BLANK,Soft loose litter,70,6,5,,JMP,
GRNDAM,2,5,Rock,BLANK,Rocks,6,12,6,,JMP,
GRNDAM,2,10,Abies concolor Sapling,Abies concolor,Tree,15,100,100,OVERHANGING DEAD BRANCHES,JMP,"In Max_height_cm , >100 was replaced by 100"
GRNDAM,2,10,Pinus lambertiana Seedling,Pinus lambertiana,Tree,1,25,24,Seedling,JMP,
GRNDAM,2,10,chimaphila embilada,Chimaphila umbellata,Dominant forb,1,6,4,,JMP,"In cover, T was replaced by 1"
GRNDAM,2,10,Woody Litter,BLANK,Woody litter,26,25,15,,JMP,
GRNDAM,2,10,Soft Loose Litter,BLANK,Soft loose litter,78,10,8,,JMP,
GRNDAM,2,10,Rock,BLANK,Rocks,6,6,2,,JMP,
GRNDAM,2,10,Abies concolor,Abies concolor,Tree,4,100,80,OVERHANGING DEAD BRANCHES,JMP,"In Max_height_cm , >100 was replaced by 100"
GRNDAM,2,15,Woody Litter,BLANK,Woody litter,40,2,1,,JMP,
GRNDAM,2,15,Soft Loose Litter,BLANK,Soft loose litter,60,9,7,,JMP,
GRNDAM,2,15,Rock,BLANK,Rocks,1,1,1,,JMP,"In cover, T was replaced by 1"
GRNDAM,2,20,Pseudotsuga menziesii,Pseudotsuga menziesii,Tree,5,100,70,OVERHANGING DEAD BRANCHES,JMP,"In Max_height_cm , >100 was replaced by 100"
GRNDAM,2,20,Woody Litter,BLANK,Woody litter,70,5,2,,JMP,
GRNDAM,2,20,Soft Loose Litter,BLANK,Soft loose litter,30,11,6,,JMP,
GRNDAM,2,25,chimaphila embilada,Chimaphila umbellata,Dominant forb,1,11,9,,JMP,
GRNDAM,2,25,Soft Rooted Litter,BLANK,Soft rooted litter,1,1,1,,JMP,
GRNDAM,2,25,Tree-dead,UNKNOWN,Tree,14,100,100,Pinaceae spp. (conifer/pine),JMP,"In Max_height_cm , >100 was replaced by 100"
GRNDAM,2,25,Woody Litter,BLANK,Woody litter,28,10,4,,JMP,
GRNDAM,2,25,Soft Loose Litter,BLANK,Soft loose litter,72,9,7,,JMP,
GRNDAM,2,25,Rock,BLANK,Rocks,1,1,1,,JMP,"In cover, T was replaced by 1"
GRNDAM,2,30,chimaphila embilada,Chimaphila umbellata,Dominant forb,1,5,5,,JMP,"In cover, T was replaced by 1"
GRNDAM,2,30,Abies concolor Seedling,Abies concolor,Tree,1,10,10,seedling,JMP,"In cover, T was replaced by 1"
GRNDAM,2,30,Woody Litter,BLANK,Woody litter,42,12,3,,JMP,
GRNDAM,2,30,Soft Loose Litter,BLANK,Soft loose litter,68,7,3,,JMP,
GRNDAM,2,35,Woody Litter,BLANK,Woody litter,22,12,2,,JMP,
GRNDAM,2,35,Soft Loose Litter,BLANK,Soft loose litter,77,8,4,,JMP,
GRNDAM,2,35,Rock,BLANK,Rocks,1,4,3,,JMP,
GRNDAM,2,40,chimaphila embilada,Chimaphila umbellata,Dominant forb,1,9,8,,JMP,
GRNDAM,2,40,Soft Rooted Litter,BLANK,Soft rooted litter,1,1,1,,JMP,
GRNDAM,2,40,Pinus lambertiana ,Pinus lambertiana,Tree,6,100,100,,JMP,"In Max_height_cm , >100 was replaced by 100"
GRNDAM,2,40,Woody Litter,BLANK,Woody litter,36,9,3,,JMP,
GRNDAM,2,40,Soft Loose Litter,BLANK,Soft loose litter,63,12,10,,JMP,
GRNDAM,2,45,Woody Litter,BLANK,Woody litter,52,30,20,,JMP,
GRNDAM,2,45,Soft Loose Litter,BLANK,Soft loose litter,46,4,2,,JMP,
GRNDAM,2,45,Rock,BLANK,Rocks,2,3,1,,JMP,
GRNHOU,1,0,Woody Litter,BLANK,Woody litter,25,10,8,,JMP,
GRNHOU,1,0,Soft Loose Litter,BLANK,Soft loose litter,74,8,5,,JMP,
GRNHOU,1,0,Rock,BLANK,Rocks,1,5,3,,JMP,
GRNHOU,1,5,Woody Litter,BLANK,Woody litter,20,9,5,,JMP,
GRNHOU,1,5,Soft Loose Litter,BLANK,Soft loose litter,80,8,6,,JMP,
GRNHOU,1,10,Quercus kelloggii Seedling,Quercus kelloggii,Tree,1,10,10,1 seedling,JMP,"In cover, T was replaced by 1"
GRNHOU,1,10,calocedrus decurrens Seedling,Calocedrus decurrens,Tree,1,3,3,1 seedling,JMP,"In cover, T was replaced by 1"
GRNHOU,1,10,Abies concolor Seedling,Abies concolor,Tree,1,5,5,3 seedlings,JMP,"In cover, T was replaced by 1"
GRNHOU,1,10,Woody Litter,BLANK,Woody litter,15,9,6,,JMP,
GRNHOU,1,10,Soft Loose Litter,BLANK,Soft loose litter,85,5,3,,JMP,
GRNHOU,1,15,Woody Litter,BLANK,Woody litter,35,65,55,,JMP,
GRNHOU,1,15,Soft Loose Litter,BLANK,Soft loose litter,65,9,6,,JMP,
GRNHOU,1,20,Woody Litter,BLANK,Woody litter,9,2,1,,JMP,
GRNHOU,1,20,Soft Loose Litter,BLANK,Soft loose litter,91,6,4,,JMP,
GRNHOU,1,25,Quercus kelloggii Seedling,Quercus kelloggii,Tree,1,9,8,1 seedling,JMP,"In cover, T was replaced by 1"
GRNHOU,1,25,calocedrus decurrens Seedling,Calocedrus decurrens,Tree,1,13,13,1 seedling,JMP,"In cover, T was replaced by 1"
GRNHOU,1,25,Woody Litter,BLANK,Woody litter,9,7,3,,JMP,
GRNHOU,1,25,Soft Loose Litter,BLANK,Soft loose litter,91,6,5,,JMP,
GRNHOU,1,30,calocedrus decurrens Seedling,Calocedrus decurrens,Tree,1,15,15,1 seedling,JMP,"In cover, T was replaced by 1"
GRNHOU,1,30,Pinus ponderosa,Pinus ponderosa,Tree,1,6,6,3 seedlings,JMP,"In cover, T was replaced by 1"
GRNHOU,1,30,Woody Litter,BLANK,Woody litter,17,14,8,,JMP,
GRNHOU,1,30,Soft Loose Litter,BLANK,Soft loose litter,83,5,3,,JMP,
GRNHOU,1,35,Woody Litter,BLANK,Woody litter,27,45,40,,JMP,
GRNHOU,1,35,Soft Loose Litter,BLANK,Soft loose litter,73,7,5,,JMP,
GRNHOU,1,40,calocedrus decurrens Seedling,Calocedrus decurrens,Tree,2,80,70,Seedling,JMP,
GRNHOU,1,40,Woody Litter,BLANK,Woody litter,15,15,7,,JMP,
GRNHOU,1,40,Soft Loose Litter,BLANK,Soft loose litter,84,12,4,,JMP,
GRNHOU,1,40,Rock,BLANK,Rocks,1,20,15,,JMP,
GRNHOU,1,45,calocedrus decurrens,Calocedrus decurrens,Tree,3,100,100,,JMP,
GRNHOU,1,45,Abies concolor Seedling,Abies concolor,Tree,1,4,4,1 seedling,JMP,"In cover, T was replaced by 1"
GRNHOU,1,45,Pinus ponderosa Seedling,Pinus ponderosa,Tree,1,5,5,2 seedling,JMP,"In cover, T was replaced by 1"
GRNHOU,1,45,Woody Litter,BLANK,Woody litter,12,8,3,,JMP,
GRNHOU,1,45,Soft Loose Litter,BLANK,Soft loose litter,88,7,5,,JMP,
GRNHOU,2,0,Woody Litter,BLANK,Woody litter,34,100,40,,JMP,
GRNHOU,2,0,Soft Loose Litter,BLANK,Soft loose litter,66,4,2,,JMP,
GRNHOU,2,5,silene douglasii,Silene douglasii,Dominant forb,1,10,5,,JMP,
GRNHOU,2,5,Forbs,BLANK,Forbs,1,6,5,,JMP,
GRNHOU,2,5,Grasses,BLANK,Grass,4,23,10,,JMP,
GRNHOU,2,5,Pinus Seedling,Pinus sp.,Tree,1,3,3,Seedling,JMP,"In cover, T was replaced by 1"
GRNHOU,2,5,Rock,BLANK,Rocks,2,9,4,,JMP,
GRNHOU,2,5,Woody Litter,BLANK,Woody litter,13,5,1,,JMP,
GRNHOU,2,5,Soft Loose Litter,BLANK,Soft loose litter,80,2,1,,JMP,
GRNHOU,2,10,silene douglasii,Silene douglasii,Dominant forb,1,17,3,,JMP,"In cover, T was replaced by 1"
GRNHOU,2,10,Viola Lobata,Viola lobata,Dominant forb,1,15,14,,JMP,"In cover, T was replaced by 1"
GRNHOU,2,10,Grasses,BLANK,Grass,1,16,10,,JMP,"In cover, T was replaced by 1"
GRNHOU,2,10,Abies concolor,Abies concolor,Tree,3,35,30,,JMP,
GRNHOU,2,10,Rock,BLANK,Rocks,12,28,20,,JMP,
GRNHOU,2,10,Woody Litter,BLANK,Woody litter,30,12,2,,JMP,
GRNHOU,2,10,Soft Loose Litter,BLANK,Soft loose litter,55,3,2,,JMP,
GRNHOU,2,15,monardella odoratissima,Monardella odoratissima,Dominant forb,6,25,12,,JMP,
GRNHOU,2,15,Forbs,BLANK,Forbs,1,18,7,,JMP,
GRNHOU,2,15,Grasses,BLANK,Grass,10,27,18,,JMP,
GRNHOU,2,15,Abies concolor,Abies concolor,Tree,12,100,85,,JMP,
GRNHOU,2,15,Rock,BLANK,Rocks,1,1,1,,JMP,
GRNHOU,2,15,Woody Litter,BLANK,Woody litter,8,5,1,,JMP,
GRNHOU,2,15,Soft Loose Litter,BLANK,Soft loose litter,70,1,1,,JMP,
GRNHOU,2,15,Soft Rooted Litter,BLANK,Soft rooted litter,3,1,1,,JMP,
GRNHOU,2,20,arnica dealbata,Arnica dealbata,Dominant forb,10,17,12,,JMP,
GRNHOU,2,20,Forbs,BLANK,Forbs,3,16,6,,JMP,
GRNHOU,2,20,Rock,BLANK,Rocks,1,1,1,,JMP,
GRNHOU,2,20,Woody Litter,BLANK,Woody litter,16,10,4,,JMP,
GRNHOU,2,20,Bare Ground ,BLANK,Bare Ground,2,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNHOU,2,20,Soft Loose Litter,BLANK,Soft loose litter,65,1,1,,JMP,
GRNHOU,2,25,UNK FORB 4,UNKNOWN,Dominant forb,3,20,15,unk forb,JMP,
GRNHOU,2,25,Forbs,BLANK,Forbs,3,26,14,,JMP,
GRNHOU,2,25,Grasses,BLANK,Grass,5,65,20,,JMP,
GRNHOU,2,25,Woody Litter,BLANK,Woody litter,15,8,2,,JMP,
GRNHOU,2,25,Soft Loose Litter,BLANK,Soft loose litter,75,2,1,,JMP,
GRNHOU,2,30,Woody Litter,BLANK,Woody litter,6,6,2,,JMP,
GRNHOU,2,30,Soft Loose Litter,BLANK,Soft loose litter,94,3,2,,JMP,
GRNHOU,2,35,Grasses,BLANK,Grass,1,40,15,,JMP,
GRNHOU,2,35,Pinus ponderosa Seedling,Pinus ponderosa,Tree,1,6,6,Seedling,JMP,"In cover, T was replaced by 1"
GRNHOU,2,35,Woody Litter,BLANK,Woody litter,75,55,20,,JMP,
GRNHOU,2,35,Soft Loose Litter,BLANK,Soft loose litter,25,10,5,,JMP,
GRNHOU,2,40,calocedrus decurrens,Calocedrus decurrens,Tree,2,100,100,,JMP,
GRNHOU,2,40,Woody Litter,BLANK,Woody litter,15,7,2,,JMP,
GRNHOU,2,40,Soft Loose Litter,BLANK,Soft loose litter,85,5,3,,JMP,
GRNHOU,2,45,gallium sp,Gallium sp.,Dominant forb,4,24,12,,JMP,
GRNHOU,2,45,Abies concolor,Abies concolor,Tree,30,90,60,,JMP,
GRNHOU,2,45,Woody Litter,BLANK,Woody litter,22,5,2,,JMP,
GRNHOU,2,45,Soft Loose Litter,BLANK,Soft loose litter,45,5,3,,JMP,
GRNKAN,1,0,hieracium albiflorum,Hieracium albiflorum,Dominant forb,5,69,40,,JMP,
GRNKAN,1,0,kelloggia galioides,Kelloggia galioides,Dominant forb,2,14,6,,JMP,
GRNKAN,1,0,Pinus Seedling,Pinus sp.,Tree,1,4,4,Seedling,JMP,"In cover, T was replaced by 1"
GRNKAN,1,0,Grasses,BLANK,Grass,1,7,4,,JMP,
GRNKAN,1,0,Woody Litter,BLANK,Woody litter,3,1,1,,JMP,
GRNKAN,1,0,Soft Loose Litter,BLANK,Soft loose litter,97,3,2,,JMP,
GRNKAN,1,5,Quercus kelloggii Seedling,Quercus kelloggii,Tree,17,50,35,seedling,JMP,
GRNKAN,1,5,Woody Litter,BLANK,Woody litter,20,6,3,,JMP,
GRNKAN,1,5,Soft Loose Litter,BLANK,Soft loose litter,80,3,2,,JMP,
GRNKAN,1,10,Abies concolor,Abies concolor,Tree,60,100,100,,JMP,
GRNKAN,1,10,calocedrus decurrens,Calocedrus decurrens,Tree,17,100,100,,JMP,
GRNKAN,1,10,Abies sp. Sapling,Abies sp.,Tree,7,30,20,Seedlings,JMP,
GRNKAN,1,10,hieracium albiflorum,Hieracium albiflorum,Dominant forb,2,5,5,,JMP,
GRNKAN,1,10,Grasses,BLANK,Grass,1,15,12,,JMP,"In cover, T was replaced by 1"
GRNKAN,1,10,Woody Litter,BLANK,Woody litter,20,100,2,,JMP,
GRNKAN,1,10,Soft Loose Litter,BLANK,Soft loose litter,80,4,2,,JMP,
GRNKAN,1,15,hieracium albiflorum,Hieracium albiflorum,Dominant forb,3,60,60,,JMP,
GRNKAN,1,15,polygala cornuta,Polygala cornuta,Dominant forb,5,9,5,,JMP,
GRNKAN,1,15,Pinus Seedling,Pinus sp.,Tree,1,5,5,Seedling,JMP,"In cover, T was replaced by 1"
GRNKAN,1,15,Bare Ground ,BLANK,Bare Ground,25,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNKAN,1,15,Woody Litter,BLANK,Woody litter,7,14,7,,JMP,
GRNKAN,1,15,Soft Loose Litter,BLANK,Soft loose litter,68,4,2,,JMP,
GRNKAN,1,20,chamaebatia foliolosa,Chamaebatia foliolosa,Shrub,6,16,10,,JMP,
GRNKAN,1,20,polygala cornuta,Polygala cornuta,Dominant forb,4,7,5,,JMP,
GRNKAN,1,20,Bare Ground ,BLANK,Bare Ground,1,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNKAN,1,20,Woody Litter,BLANK,Woody litter,14,10,7,,JMP,
GRNKAN,1,20,Soft Loose Litter,BLANK,Soft loose litter,85,3,1,,JMP,
GRNKAN,1,25,chamaebatia foliolosa,Chamaebatia foliolosa,Shrub,3,20,16,,JMP,
GRNKAN,1,25,Woody Litter,BLANK,Woody litter,30,7,4,,JMP,
GRNKAN,1,25,Soft Loose Litter,BLANK,Soft loose litter,70,8,6,,JMP,
GRNKAN,1,30,chamaebatia foliolosa,Chamaebatia foliolosa,Shrub,4,19,10,,JMP,
GRNKAN,1,30,calocedrus decurrens Sapling,Calocedrus decurrens,Tree,8,55,30,Seedling,JMP,
GRNKAN,1,30,Grasses,BLANK,Grass,1,35,20,,JMP,"In cover, T was replaced by 1"
GRNKAN,1,30,Bare Ground ,BLANK,Bare Ground,5,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNKAN,1,30,Woody Litter,BLANK,Woody litter,80,12,6,,JMP,
GRNKAN,1,30,Soft Loose Litter,BLANK,Soft loose litter,15,1,1,,JMP,
GRNKAN,1,35,Grasses,BLANK,Grass,1,25,16,,JMP,"In cover, T was replaced by 1"
GRNKAN,1,35,Soft Rooted Litter,BLANK,Soft rooted litter,3,8,6,,JMP,
GRNKAN,1,35,Woody Litter,BLANK,Woody litter,40,5,3,,JMP,
GRNKAN,1,35,Soft Loose Litter,BLANK,Soft loose litter,57,4,2,,JMP,
GRNKAN,1,40,Abies sp. Sapling,Abies sp.,Tree,1,20,15,Seedlings,JMP,"In cover, T was replaced by 1"
GRNKAN,1,40,Soft Rooted Litter,BLANK,Soft rooted litter,10,45,35,,JMP,
GRNKAN,1,40,Bare Ground ,BLANK,Bare Ground,2,NA,NA,,JMP,"In Max_height_cm and Avg_height_cm, ""-"" was replaced by NA"
GRNKAN,1,40,Woody Litter,BLANK,Woody litter,25,7,6,,JMP,
GRNKAN,1,40,Soft Loose Litter,BLANK,Soft loose litter,63,3,2,,JMP,
GRNKAN,1,45,chamaebatia foliolosa,Chamaebatia foliolosa,Shrub,3,8,5,,JMP,
GRNKAN,1,45,Grasses,BLANK,Grass,1,15,10,,JMP,"In cover, T was replaced by 1"
