site,severity,evh,n
GRNQUA,unb,121,16
GRNQUA,unb,122,8
GRNQUA,unb,123,21
GRNQUA,unb,124,19
GRNQUA,unb,125,14
GRNQUA,unb,126,16
GRNQUA,unb,127,13
GRNQUA,unb,128,8
GRNQUA,unb,129,17
GRNQUA,unb,130,16
GRNQUA,unb,131,12
GRNQUA,unb,132,11
GRNQUA,unb,133,5
GRNQUA,unb,134,4
GRNQUA,unb,135,1
GRNQUA,unb,136,2
GRNQUA,unb,218,1
GRNQUA,unb,220,2
GRNQUA,unb,222,1
GRNSNO,unb,100,1
GRNSNO,unb,107,1
GRNSNO,unb,108,1
GRNSNO,unb,109,1
GRNSNO,unb,112,4
GRNSNO,unb,114,3
GRNSNO,unb,115,5
GRNSNO,unb,116,5
GRNSNO,unb,117,4
GRNSNO,unb,118,8
GRNSNO,unb,119,15
GRNSNO,unb,120,12
GRNSNO,unb,121,8
GRNSNO,unb,122,14
GRNSNO,unb,123,15
GRNSNO,unb,124,17
GRNSNO,unb,125,20
GRNSNO,unb,126,12
GRNSNO,unb,127,16
GRNSNO,unb,128,13
GRNSNO,unb,129,6
GRNSNO,unb,130,13
GRNSNO,unb,131,15
GRNSNO,unb,132,11
GRNSNO,unb,133,13
GRNSNO,unb,134,6
GRNSNO,unb,135,3
GRNSNO,unb,136,11
GRNSNO,unb,208,2
GRNSNO,unb,209,1
GRNSNO,unb,211,2
GRNSNO,unb,212,2
GRNSNO,unb,213,1
GRNSNO,unb,214,3
GRNSNO,unb,217,1
GRNSNO,unb,222,1
GRNSNO,unb,302,8
GRNTUR,unb,113,1
GRNTUR,unb,114,1
GRNTUR,unb,115,1
GRNTUR,unb,116,6
GRNTUR,unb,117,5
GRNTUR,unb,118,2
GRNTUR,unb,119,8
GRNTUR,unb,120,11
GRNTUR,unb,121,10
GRNTUR,unb,122,18
GRNTUR,unb,123,25
GRNTUR,unb,124,22
GRNTUR,unb,125,32
GRNTUR,unb,126,34
GRNTUR,unb,127,14
GRNTUR,unb,128,17
GRNTUR,unb,129,17
GRNTUR,unb,130,14
GRNTUR,unb,131,5
GRNTUR,unb,132,2
GRNTUR,unb,133,3
GRNTUR,unb,134,2
GRNTUR,unb,135,2
GRNTUR,unb,136,2
GRNTUR,unb,138,1
GRNTUR,unb,139,3
GRNTUR,unb,213,1
GRNTUR,unb,214,2
GRNTUR,unb,215,1
GRNTUR,unb,216,1
GRNTUR,unb,217,2
GRNTUR,unb,218,2
GRNWOO,unb,121,1
GRNWOO,unb,122,3
GRNWOO,unb,123,4
GRNWOO,unb,124,5
GRNWOO,unb,125,9
GRNWOO,unb,126,15
GRNWOO,unb,127,11
GRNWOO,unb,128,18
GRNWOO,unb,129,27
GRNWOO,unb,130,26
GRNWOO,unb,131,24
GRNWOO,unb,132,23
GRNWOO,unb,133,26
GRNWOO,unb,134,18
GRNWOO,unb,135,21
GRNWOO,unb,136,9
GRNWOO,unb,137,12
GRNWOO,unb,138,6
GRNWOO,unb,139,18
GRNWOO,unb,214,1
GRNWOO,unb,301,6
HIBADR,high,204,1
HIBADR,high,206,2
HIBADR,high,207,1
HIBADR,high,208,2
HIBADR,high,209,6
HIBADR,high,210,5
HIBADR,high,211,4
HIBADR,high,212,7
HIBADR,high,213,1
HIBADR,high,214,8
HIBADR,high,215,1
HIBADR,high,302,234
HIBADR,high,303,1
HICAMP,high,100,3
HICAMP,high,107,1
HICAMP,high,109,1
HICAMP,high,110,1
HICAMP,high,112,1
HICAMP,high,113,1
HICAMP,high,114,1
HICAMP,high,115,1
HICAMP,high,116,2
HICAMP,high,117,3
HICAMP,high,118,1
HICAMP,high,119,2
HICAMP,high,120,3
HICAMP,high,121,4
HICAMP,high,122,3
HICAMP,high,123,5
HICAMP,high,124,5
HICAMP,high,125,3
HICAMP,high,126,1
HICAMP,high,127,1
HICAMP,high,128,1
HICAMP,high,129,1
HICAMP,high,130,4
HICAMP,high,133,1
HICAMP,high,204,1
HICAMP,high,206,10
HICAMP,high,207,11
HICAMP,high,208,16
HICAMP,high,209,2
HICAMP,high,210,18
HICAMP,high,212,15
HICAMP,high,213,4
HICAMP,high,214,6
HICAMP,high,215,4
HICAMP,high,216,2
HICAMP,high,217,3
HICAMP,high,218,3
HICAMP,high,219,2
HICAMP,high,220,7
HICAMP,high,222,3
HICAMP,high,223,1
HICAMP,high,224,1
HICAMP,high,302,101
HICAMP,high,303,12
HICORN,high,206,3
HICORN,high,207,4
HICORN,high,208,10
HICORN,high,209,6
HICORN,high,210,13
HICORN,high,211,2
HICORN,high,212,8
HICORN,high,213,1
HICORN,high,214,3
HICORN,high,215,6
HICORN,high,216,1
HICORN,high,219,1
HICORN,high,222,1
HICORN,high,302,214
HICORN,high,303,4
HICOWS,high,203,2
HICOWS,high,204,8
HICOWS,high,205,9
HICOWS,high,206,39
HICOWS,high,207,21
HICOWS,high,208,67
HICOWS,high,209,20
HICOWS,high,210,27
HICOWS,high,211,2
HICOWS,high,212,7
HICOWS,high,215,1
HICOWS,high,302,68
HIDODD,high,206,1
HIDODD,high,207,1
HIDODD,high,208,4
HIDODD,high,209,2
HIDODD,high,210,10
HIDODD,high,211,4
HIDODD,high,212,12
HIDODD,high,213,4
HIDODD,high,215,2
HIDODD,high,302,230
HIDODD,high,303,6
HISHRU,high,207,1
HISHRU,high,208,1
HISHRU,high,209,1
HISHRU,high,210,7
HISHRU,high,212,3
HISHRU,high,213,4
HISHRU,high,214,6
HISHRU,high,215,3
HISHRU,high,302,246
HISHRU,high,303,2
HISQUE,high,205,3
HISQUE,high,206,3
HISQUE,high,207,4
HISQUE,high,208,21
HISQUE,high,209,11
HISQUE,high,210,28
HISQUE,high,211,9
HISQUE,high,212,29
HISQUE,high,213,12
HISQUE,high,214,9
HISQUE,high,215,8
HISQUE,high,218,2
HISQUE,high,219,3
HISQUE,high,221,1
HISQUE,high,222,1
HISQUE,high,302,105
HISQUE,high,303,15
HISQUE,high,304,6
HITEDD,high,208,4
HITEDD,high,209,1
HITEDD,high,210,1
HITEDD,high,211,1
HITEDD,high,212,9
HITEDD,high,213,2
HITEDD,high,214,9
HITEDD,high,215,9
HITEDD,high,217,1
HITEDD,high,302,227
HITEDD,high,303,10
HIWALK,high,203,1
HIWALK,high,204,2
HIWALK,high,205,7
HIWALK,high,206,27
HIWALK,high,207,21
HIWALK,high,208,53
HIWALK,high,209,18
HIWALK,high,210,52
HIWALK,high,211,4
HIWALK,high,212,12
HIWALK,high,213,1
HIWALK,high,215,1
HIWALK,high,302,73
HIWALK,high,303,1
MIXBUS,mod,111,2
MIXBUS,mod,114,2
MIXBUS,mod,115,4
MIXBUS,mod,116,5
MIXBUS,mod,117,9
MIXBUS,mod,118,13
MIXBUS,mod,119,10
MIXBUS,mod,120,11
MIXBUS,mod,121,10
MIXBUS,mod,122,26
MIXBUS,mod,123,22
MIXBUS,mod,124,15
MIXBUS,mod,125,18
MIXBUS,mod,126,17
MIXBUS,mod,127,15
MIXBUS,mod,128,16
MIXBUS,mod,129,10
MIXBUS,mod,130,12
MIXBUS,mod,131,10
MIXBUS,mod,132,4
MIXBUS,mod,133,1
MIXBUS,mod,134,1
MIXBUS,mod,135,1
MIXBUS,mod,137,1
MIXBUS,mod,138,1
MIXBUS,mod,139,1
MIXBUS,mod,206,1
MIXBUS,mod,207,1
MIXBUS,mod,208,1
MIXBUS,mod,211,3
MIXBUS,mod,212,3
MIXBUS,mod,213,2
MIXBUS,mod,214,1
MIXBUS,mod,215,5
MIXBUS,mod,216,2
MIXBUS,mod,217,2
MIXBUS,mod,218,4
MIXBUS,mod,220,2
MIXBUS,mod,222,4
MIXBUS,mod,302,2
MIXBUS,mod,303,3
MIXBUT,mod,100,1
MIXBUT,mod,116,1
MIXBUT,mod,118,7
MIXBUT,mod,119,3
MIXBUT,mod,120,6
MIXBUT,mod,121,3
MIXBUT,mod,122,7
MIXBUT,mod,123,10
MIXBUT,mod,124,13
MIXBUT,mod,125,5
MIXBUT,mod,126,5
MIXBUT,mod,127,16
MIXBUT,mod,128,11
MIXBUT,mod,129,14
MIXBUT,mod,130,31
MIXBUT,mod,131,6
MIXBUT,mod,132,8
MIXBUT,mod,133,5
MIXBUT,mod,134,3
MIXBUT,mod,135,3
MIXBUT,mod,136,3
MIXBUT,mod,204,2
MIXBUT,mod,206,2
MIXBUT,mod,207,2
MIXBUT,mod,208,3
MIXBUT,mod,209,3
MIXBUT,mod,210,7
MIXBUT,mod,211,5
MIXBUT,mod,212,8
MIXBUT,mod,214,3
MIXBUT,mod,215,2
MIXBUT,mod,216,3
MIXBUT,mod,217,3
MIXBUT,mod,218,5
MIXBUT,mod,219,1
MIXBUT,mod,220,2
MIXBUT,mod,221,4
MIXBUT,mod,222,7
MIXBUT,mod,223,3
MIXBUT,mod,302,40
MIXBUT,mod,303,12
MIXDP2,mod,100,4
MIXDP2,mod,109,1
MIXDP2,mod,114,3
MIXDP2,mod,115,4
MIXDP2,mod,116,7
MIXDP2,mod,117,8
MIXDP2,mod,118,7
MIXDP2,mod,119,9
MIXDP2,mod,120,4
MIXDP2,mod,121,5
MIXDP2,mod,122,4
MIXDP2,mod,123,7
MIXDP2,mod,124,13
MIXDP2,mod,125,10
MIXDP2,mod,126,11
MIXDP2,mod,127,19
MIXDP2,mod,128,15
MIXDP2,mod,129,14
MIXDP2,mod,130,22
MIXDP2,mod,131,7
MIXDP2,mod,132,7
MIXDP2,mod,133,12
MIXDP2,mod,134,4
MIXDP2,mod,135,7
MIXDP2,mod,136,5
MIXDP2,mod,137,1
MIXDP2,mod,138,3
MIXDP2,mod,139,5
MIXDP2,mod,203,1
MIXDP2,mod,204,8
MIXDP2,mod,205,5
MIXDP2,mod,206,15
MIXDP2,mod,207,6
MIXDP2,mod,208,30
MIXDP2,mod,209,19
MIXDP2,mod,210,46
MIXDP2,mod,211,14
MIXDP2,mod,212,29
MIXDP2,mod,213,9
MIXDP2,mod,214,26
MIXDP2,mod,215,8
MIXDP2,mod,216,4
MIXDP2,mod,217,4
MIXDP2,mod,218,2
MIXDP2,mod,219,2
MIXDP2,mod,220,2
MIXDP2,mod,221,1
MIXDP2,mod,222,4
MIXDP2,mod,302,164
MIXDP2,mod,303,54
MIXDP2,mod,304,1
MIXMID,mod,100,4
MIXMID,mod,114,1
MIXMID,mod,115,1
MIXMID,mod,116,2
MIXMID,mod,117,1
MIXMID,mod,118,5
MIXMID,mod,119,4
MIXMID,mod,120,8
MIXMID,mod,121,9
MIXMID,mod,122,6
MIXMID,mod,123,9
MIXMID,mod,124,9
MIXMID,mod,125,12
MIXMID,mod,126,19
MIXMID,mod,127,17
MIXMID,mod,128,26
MIXMID,mod,129,16
MIXMID,mod,130,29
MIXMID,mod,131,11
MIXMID,mod,132,16
MIXMID,mod,133,8
MIXMID,mod,134,2
MIXMID,mod,135,3
MIXMID,mod,136,3
MIXMID,mod,137,2
MIXMID,mod,138,1
MIXMID,mod,208,1
MIXMID,mod,209,2
MIXMID,mod,210,4
MIXMID,mod,211,1
MIXMID,mod,212,7
MIXMID,mod,213,2
MIXMID,mod,214,5
MIXMID,mod,215,2
MIXMID,mod,216,2
MIXMID,mod,221,1
MIXMID,mod,222,1
MIXMID,mod,302,15
MIXMID,mod,303,10
MIXMID,mod,304,1
MIXMIX,mod,111,1
MIXMIX,mod,114,1
MIXMIX,mod,116,2
MIXMIX,mod,117,1
MIXMIX,mod,118,4
MIXMIX,mod,119,1
MIXMIX,mod,120,6
MIXMIX,mod,121,7
MIXMIX,mod,122,4
MIXMIX,mod,123,10
MIXMIX,mod,124,7
MIXMIX,mod,125,13
MIXMIX,mod,126,22
MIXMIX,mod,127,29
MIXMIX,mod,128,25
MIXMIX,mod,129,28
MIXMIX,mod,130,30
MIXMIX,mod,131,22
MIXMIX,mod,132,11
MIXMIX,mod,133,5
MIXMIX,mod,134,10
MIXMIX,mod,135,3
MIXMIX,mod,136,4
MIXMIX,mod,137,7
MIXMIX,mod,138,4
MIXMIX,mod,139,6
MIXMIX,mod,208,1
MIXMIX,mod,212,4
MIXMIX,mod,215,2
MIXMIX,mod,302,1
MIXMOR,mod,110,1
MIXMOR,mod,112,1
MIXMOR,mod,113,2
MIXMOR,mod,114,1
MIXMOR,mod,115,6
MIXMOR,mod,116,8
MIXMOR,mod,117,10
MIXMOR,mod,118,13
MIXMOR,mod,119,21
MIXMOR,mod,120,26
MIXMOR,mod,121,34
MIXMOR,mod,122,26
MIXMOR,mod,123,26
MIXMOR,mod,124,22
MIXMOR,mod,125,14
MIXMOR,mod,126,15
MIXMOR,mod,127,10
MIXMOR,mod,128,12
MIXMOR,mod,129,4
MIXMOR,mod,130,3
MIXMOR,mod,131,2
MIXMOR,mod,132,1
MIXMOR,mod,133,1
MIXMOR,mod,134,2
MIXMOR,mod,137,1
MIXMOR,mod,207,1
MIXMOR,mod,208,1
MIXMOR,mod,210,2
MIXMOR,mod,214,1
MIXMOR,mod,216,2
MIXMOR,mod,218,1
MIXMOR,mod,303,2
MIXRAV,mod,112,1
MIXRAV,mod,114,1
MIXRAV,mod,116,2
MIXRAV,mod,117,4
MIXRAV,mod,118,4
MIXRAV,mod,119,6
MIXRAV,mod,120,6
MIXRAV,mod,121,11
MIXRAV,mod,122,9
MIXRAV,mod,123,7
MIXRAV,mod,124,10
MIXRAV,mod,125,10
MIXRAV,mod,126,2
MIXRAV,mod,127,11
MIXRAV,mod,128,4
MIXRAV,mod,129,5
MIXRAV,mod,130,13
MIXRAV,mod,131,1
MIXRAV,mod,132,3
MIXRAV,mod,133,2
MIXRAV,mod,134,6
MIXRAV,mod,135,7
MIXRAV,mod,136,2
MIXRAV,mod,137,4
MIXRAV,mod,138,1
MIXRAV,mod,139,2
MIXRAV,mod,209,2
MIXRAV,mod,210,2
MIXRAV,mod,211,3
MIXRAV,mod,212,5
MIXRAV,mod,213,6
MIXRAV,mod,214,15
MIXRAV,mod,215,9
MIXRAV,mod,216,5
MIXRAV,mod,217,1
MIXRAV,mod,218,10
MIXRAV,mod,219,6
MIXRAV,mod,220,8
MIXRAV,mod,221,1
MIXRAV,mod,222,3
MIXRAV,mod,223,2
MIXRAV,mod,224,4
MIXRAV,mod,225,2
MIXRAV,mod,226,4
MIXRAV,mod,227,3
MIXRAV,mod,228,4
MIXRAV,mod,229,1
MIXRAV,mod,230,2
MIXRAV,mod,301,2
MIXRAV,mod,302,13
MIXRAV,mod,303,28
MIXRAV,mod,304,1
MIXRIV,mod,113,1
MIXRIV,mod,117,4
MIXRIV,mod,118,4
MIXRIV,mod,119,5
MIXRIV,mod,120,4
MIXRIV,mod,121,5
MIXRIV,mod,122,16
MIXRIV,mod,123,16
MIXRIV,mod,124,11
MIXRIV,mod,125,14
MIXRIV,mod,126,15
MIXRIV,mod,127,18
MIXRIV,mod,128,12
MIXRIV,mod,129,18
MIXRIV,mod,130,33
MIXRIV,mod,131,21
MIXRIV,mod,132,12
MIXRIV,mod,133,8
MIXRIV,mod,134,11
MIXRIV,mod,135,5
MIXRIV,mod,136,2
MIXRIV,mod,137,2
MIXRIV,mod,208,1
MIXRIV,mod,210,5
MIXRIV,mod,211,1
MIXRIV,mod,212,3
MIXRIV,mod,213,5
MIXRIV,mod,214,5
MIXRIV,mod,215,3
MIXRIV,mod,216,1
MIXRIV,mod,219,3
MIXRIV,mod,220,2
MIXRIV,mod,221,1
MIXRIV,mod,222,4
MIXRIV,mod,223,1
MIXRIV,mod,302,4
MIXRIV,mod,303,1
MIXWAT,mod,112,1
MIXWAT,mod,113,2
MIXWAT,mod,115,1
MIXWAT,mod,117,1
MIXWAT,mod,118,2
MIXWAT,mod,119,1
MIXWAT,mod,120,5
MIXWAT,mod,121,8
MIXWAT,mod,122,9
MIXWAT,mod,123,13
MIXWAT,mod,124,15
MIXWAT,mod,125,28
MIXWAT,mod,126,23
MIXWAT,mod,127,31
MIXWAT,mod,128,30
MIXWAT,mod,129,19
MIXWAT,mod,130,25
MIXWAT,mod,131,5
MIXWAT,mod,132,5
MIXWAT,mod,133,5
MIXWAT,mod,134,3
MIXWAT,mod,135,3
MIXWAT,mod,139,1
MIXWAT,mod,210,5
MIXWAT,mod,211,1
MIXWAT,mod,212,1
MIXWAT,mod,213,3
MIXWAT,mod,214,5
MIXWAT,mod,215,4
MIXWAT,mod,217,2
MIXWAT,mod,223,1
MIXWAT,mod,302,11
MIXWAT,mod,303,1
