block,severity,site,transect,veg_cover,shrub_cover,grass_cover,forb_cover,loose_cover,rooted_cover,live_tree_density,cwd_volume,shrub_H,forb_H,tree_survival
hm,mod,MIXBUT,2,2.4,0.4,0.1,0.4,94.8,1.4,13.333333333333332,1.0856564841198294e-4,0,0,0.037037037037037035
hm,mod,MIXRIV,1,14.6,0.3,0,12.2,70.6,0,120,4.762084123525616e-4,0,1.4941751382893083,0.4090909090909091
hm,mod,MIXRIV,2,3.5,0.8,0,1.4,96.8,0.1,213.33333333333331,5.995784673661784e-4,0,0.8675632284814612,0.42105263157894735
hm,mod,MIXWAT,1,5.8,1.4,2.4,0,59.3,0.7,360,0,0,0,0.6
hm,mod,MIXWAT,2,5.2,0.7,2.7,0.2,69.2,0.5,226.66666666666669,3.4790355513839987e-4,0,0,0.5666666666666667
belt,high,HICORN,1,49.8,48.5,0,1.3,56.3,1.2,0,3.380339507373105e-4,1.1574916778562077,0.9502705392332347,0
belt,high,HICORN,2,45,44.9,0,0.1,42.3,0.1,0,0,1.0535228696998349,0,0
belt,high,HIDODD,1,50.2,36.9,0,8.7,9.4,3.9,0,1.147341511626638e-4,0.817781039992626,0.5623351446188083,0
belt,high,HIDODD,2,32.4,31.2,0,1.2,18.6,6,0,0,0.7296813477242291,0,0
belt,high,HITEDD,1,36.7,32.7,0,4,4.3,3.4,0,0,1.0428917955726014,0.6730116670092565,0
belt,high,HITEDD,2,65.9,61.6,0,4.3,14.9,3.4,0,0,1.1499480282839623,1.5498260458782016,0
dp,high,HICOWS,1,43.7,43,0,0.1,18.9,1,0,2.097290935231489e-4,1.306844255557513,0,0
dp,high,HICOWS,2,42.1,38.7,0.6,2.8,3.6,0.6,0,2.61544516628868e-4,0.7381083693231677,0.6365141682948128,0
dp,high,HISQUE,1,36.3,30.5,0,2,3.3,1.6,0,0,1.4621988007341549,0.6365141682948128,0
dp,high,HISQUE,2,38.3,27.5,0,6.6,26.2,4.8,0,1.7025067591879144e-4,1.1824301338478784,0.796311640173813,0
dp,high,HIWALK,1,15,11.8,0.1,0,26.7,0,0,5.428282420599147e-4,1.6272453751586817,0,0
dp,high,HIWALK,2,44.9,36.9,0.1,1.9,21.5,2,0,5.033498244555574e-4,1.2206072645530175,1.242453324894,0
hm,high,HIBADR,1,39.4,37,1.8,0.6,8,2.6,0,3.318654479866296e-4,0.5506572658128802,0,0
hm,high,HIBADR,2,61.6,50,0,9.5,33.5,3.8,0,0,0,0.9502705392332347,0
hm,high,HICAMP,1,23.35,5.9,2.1,15.05,18,13.4,0,2.6894671992968504e-4,0.6108643020548935,0,0
hm,high,HICAMP,2,33.8,6.5,5.7,19.7,10.5,0.8,0,1.714843764689276e-4,0.9002560512685369,1.3296613488547582,0
hm,high,HISHRU,1,92.2,68.2,0,17.1,37.8,39.9,0,0,0,1.4270610433807247,0
hm,high,HISHRU,2,89.2,54.4,3,31.8,30.7,47.7,0,4.922465195043319e-4,0.5421350200808047,1.4750763110546947,0
