site,severity,evc,n
GRNQUA,unb,153,3
GRNQUA,unb,154,9
GRNQUA,unb,155,8
GRNQUA,unb,156,5
GRNQUA,unb,157,10
GRNQUA,unb,158,11
GRNQUA,unb,159,11
GRNQUA,unb,160,4
GRNQUA,unb,161,6
GRNQUA,unb,162,5
GRNQUA,unb,163,4
GRNQUA,unb,164,5
GRNQUA,unb,165,7
GRNQUA,unb,166,1
GRNQUA,unb,167,4
GRNQUA,unb,240,2
GRNQUA,unb,244,1
GRNQUA,unb,249,1
GRNSNO,unb,100,1
GRNSNO,unb,128,1
GRNSNO,unb,131,1
GRNSNO,unb,132,1
GRNSNO,unb,134,3
GRNSNO,unb,135,1
GRNSNO,unb,136,3
GRNSNO,unb,137,1
GRNSNO,unb,138,5
GRNSNO,unb,139,4
GRNSNO,unb,140,6
GRNSNO,unb,141,4
GRNSNO,unb,142,4
GRNSNO,unb,143,11
GRNSNO,unb,144,11
GRNSNO,unb,145,11
GRNSNO,unb,146,19
GRNSNO,unb,147,21
GRNSNO,unb,148,25
GRNSNO,unb,149,11
GRNSNO,unb,150,13
GRNSNO,unb,151,7
GRNSNO,unb,152,6
GRNSNO,unb,153,13
GRNSNO,unb,154,6
GRNSNO,unb,155,8
GRNSNO,unb,156,7
GRNSNO,unb,157,3
GRNSNO,unb,158,2
GRNSNO,unb,159,6
GRNSNO,unb,160,5
GRNSNO,unb,161,5
GRNSNO,unb,162,8
GRNSNO,unb,163,5
GRNSNO,unb,164,5
GRNSNO,unb,165,4
GRNSNO,unb,166,1
GRNSNO,unb,167,2
GRNSNO,unb,168,1
GRNSNO,unb,169,2
GRNSNO,unb,236,1
GRNSNO,unb,238,1
GRNSNO,unb,239,3
GRNSNO,unb,240,2
GRNSNO,unb,241,1
GRNSNO,unb,248,1
GRNSNO,unb,251,2
GRNSNO,unb,252,1
GRNSNO,unb,258,1
GRNSNO,unb,327,1
GRNSNO,unb,331,1
GRNSNO,unb,332,3
GRNSNO,unb,334,2
GRNSNO,unb,335,1
GRNTUR,unb,123,1
GRNTUR,unb,128,1
GRNTUR,unb,129,1
GRNTUR,unb,130,1
GRNTUR,unb,131,1
GRNTUR,unb,132,1
GRNTUR,unb,134,2
GRNTUR,unb,135,1
GRNTUR,unb,136,1
GRNTUR,unb,137,1
GRNTUR,unb,138,2
GRNTUR,unb,139,3
GRNTUR,unb,140,5
GRNTUR,unb,141,6
GRNTUR,unb,142,4
GRNTUR,unb,143,6
GRNTUR,unb,144,15
GRNTUR,unb,145,8
GRNTUR,unb,146,12
GRNTUR,unb,147,20
GRNTUR,unb,148,16
GRNTUR,unb,149,20
GRNTUR,unb,150,14
GRNTUR,unb,151,14
GRNTUR,unb,152,12
GRNTUR,unb,153,10
GRNTUR,unb,154,10
GRNTUR,unb,155,10
GRNTUR,unb,156,8
GRNTUR,unb,157,4
GRNTUR,unb,158,4
GRNTUR,unb,159,6
GRNTUR,unb,160,2
GRNTUR,unb,161,8
GRNTUR,unb,162,8
GRNTUR,unb,163,9
GRNTUR,unb,164,1
GRNTUR,unb,165,2
GRNTUR,unb,167,4
GRNTUR,unb,168,2
GRNTUR,unb,170,1
GRNTUR,unb,171,1
GRNTUR,unb,234,1
GRNTUR,unb,238,1
GRNTUR,unb,239,4
GRNTUR,unb,240,1
GRNTUR,unb,244,1
GRNTUR,unb,246,1
GRNWOO,unb,129,1
GRNWOO,unb,133,1
GRNWOO,unb,135,1
GRNWOO,unb,140,1
GRNWOO,unb,141,1
GRNWOO,unb,143,3
GRNWOO,unb,144,2
GRNWOO,unb,145,4
GRNWOO,unb,146,6
GRNWOO,unb,147,8
GRNWOO,unb,148,10
GRNWOO,unb,149,22
GRNWOO,unb,150,20
GRNWOO,unb,151,9
GRNWOO,unb,152,13
GRNWOO,unb,153,7
GRNWOO,unb,154,5
GRNWOO,unb,155,9
GRNWOO,unb,156,9
GRNWOO,unb,157,5
GRNWOO,unb,158,9
GRNWOO,unb,159,6
GRNWOO,unb,160,8
GRNWOO,unb,161,9
GRNWOO,unb,162,12
GRNWOO,unb,163,16
GRNWOO,unb,164,9
GRNWOO,unb,165,15
GRNWOO,unb,166,6
GRNWOO,unb,167,16
GRNWOO,unb,168,7
GRNWOO,unb,169,8
GRNWOO,unb,170,6
GRNWOO,unb,171,7
GRNWOO,unb,172,3
GRNWOO,unb,173,2
GRNWOO,unb,248,1
GRNWOO,unb,320,1
GRNWOO,unb,327,1
GRNWOO,unb,328,1
GRNWOO,unb,330,2
GRNWOO,unb,332,1
HIBADR,high,236,2
HIBADR,high,238,1
HIBADR,high,239,1
HIBADR,high,240,1
HIBADR,high,241,2
HIBADR,high,242,2
HIBADR,high,244,1
HIBADR,high,245,3
HIBADR,high,246,2
HIBADR,high,248,2
HIBADR,high,249,2
HIBADR,high,250,1
HIBADR,high,251,3
HIBADR,high,254,2
HIBADR,high,255,3
HIBADR,high,256,4
HIBADR,high,258,3
HIBADR,high,260,2
HIBADR,high,261,1
HIBADR,high,323,1
HIBADR,high,325,8
HIBADR,high,326,5
HIBADR,high,327,15
HIBADR,high,329,19
HIBADR,high,330,36
HIBADR,high,331,27
HIBADR,high,332,23
HIBADR,high,334,22
HIBADR,high,335,13
HIBADR,high,336,13
HIBADR,high,338,9
HIBADR,high,339,5
HIBADR,high,340,4
HIBADR,high,342,7
HIBADR,high,343,6
HIBADR,high,344,7
HIBADR,high,346,4
HIBADR,high,347,3
HIBADR,high,349,6
HIBADR,high,352,1
HIBADR,high,353,1
HICAMP,high,100,3
HICAMP,high,123,1
HICAMP,high,128,1
HICAMP,high,130,1
HICAMP,high,133,2
HICAMP,high,136,5
HICAMP,high,137,1
HICAMP,high,138,4
HICAMP,high,140,1
HICAMP,high,141,2
HICAMP,high,142,1
HICAMP,high,143,4
HICAMP,high,144,3
HICAMP,high,146,2
HICAMP,high,147,5
HICAMP,high,148,3
HICAMP,high,149,2
HICAMP,high,151,3
HICAMP,high,152,1
HICAMP,high,153,1
HICAMP,high,155,1
HICAMP,high,156,2
HICAMP,high,163,1
HICAMP,high,221,1
HICAMP,high,224,1
HICAMP,high,225,1
HICAMP,high,230,1
HICAMP,high,231,1
HICAMP,high,232,1
HICAMP,high,234,2
HICAMP,high,235,4
HICAMP,high,236,7
HICAMP,high,238,4
HICAMP,high,239,7
HICAMP,high,240,5
HICAMP,high,241,5
HICAMP,high,242,7
HICAMP,high,244,8
HICAMP,high,245,13
HICAMP,high,246,4
HICAMP,high,248,7
HICAMP,high,249,5
HICAMP,high,250,1
HICAMP,high,251,3
HICAMP,high,254,2
HICAMP,high,256,3
HICAMP,high,258,2
HICAMP,high,259,5
HICAMP,high,261,8
HICAMP,high,264,1
HICAMP,high,325,3
HICAMP,high,326,8
HICAMP,high,327,7
HICAMP,high,329,13
HICAMP,high,330,10
HICAMP,high,331,11
HICAMP,high,332,14
HICAMP,high,334,18
HICAMP,high,335,10
HICAMP,high,336,6
HICAMP,high,338,4
HICAMP,high,339,1
HICAMP,high,349,1
HICAMP,high,351,3
HICAMP,high,352,1
HICAMP,high,356,2
HICAMP,high,357,1
HICORN,high,223,1
HICORN,high,226,1
HICORN,high,229,2
HICORN,high,232,1
HICORN,high,234,2
HICORN,high,235,3
HICORN,high,236,3
HICORN,high,238,4
HICORN,high,239,3
HICORN,high,240,10
HICORN,high,241,7
HICORN,high,242,1
HICORN,high,244,1
HICORN,high,245,3
HICORN,high,246,1
HICORN,high,248,5
HICORN,high,249,3
HICORN,high,250,3
HICORN,high,251,2
HICORN,high,252,1
HICORN,high,254,1
HICORN,high,256,1
HICORN,high,326,1
HICORN,high,327,3
HICORN,high,329,7
HICORN,high,330,8
HICORN,high,331,24
HICORN,high,332,41
HICORN,high,334,28
HICORN,high,335,27
HICORN,high,336,17
HICORN,high,338,14
HICORN,high,339,15
HICORN,high,340,6
HICORN,high,342,4
HICORN,high,343,4
HICORN,high,344,2
HICORN,high,346,4
HICORN,high,347,6
HICORN,high,348,3
HICORN,high,349,2
HICORN,high,352,1
HICORN,high,355,1
HICOWS,high,226,2
HICOWS,high,229,5
HICOWS,high,230,4
HICOWS,high,231,4
HICOWS,high,232,9
HICOWS,high,234,12
HICOWS,high,235,19
HICOWS,high,236,18
HICOWS,high,238,23
HICOWS,high,239,24
HICOWS,high,240,19
HICOWS,high,241,17
HICOWS,high,242,5
HICOWS,high,244,7
HICOWS,high,245,10
HICOWS,high,246,3
HICOWS,high,248,10
HICOWS,high,249,1
HICOWS,high,250,3
HICOWS,high,251,2
HICOWS,high,252,3
HICOWS,high,255,1
HICOWS,high,258,1
HICOWS,high,260,1
HICOWS,high,325,1
HICOWS,high,326,1
HICOWS,high,329,2
HICOWS,high,330,4
HICOWS,high,331,4
HICOWS,high,332,5
HICOWS,high,334,7
HICOWS,high,335,3
HICOWS,high,336,5
HICOWS,high,338,3
HICOWS,high,339,1
HICOWS,high,340,3
HICOWS,high,342,5
HICOWS,high,343,3
HICOWS,high,344,4
HICOWS,high,346,6
HICOWS,high,347,3
HICOWS,high,348,4
HICOWS,high,349,3
HICOWS,high,353,1
HIDODD,high,235,4
HIDODD,high,236,1
HIDODD,high,238,4
HIDODD,high,239,2
HIDODD,high,240,2
HIDODD,high,241,8
HIDODD,high,242,3
HIDODD,high,244,3
HIDODD,high,246,3
HIDODD,high,249,4
HIDODD,high,250,1
HIDODD,high,251,2
HIDODD,high,254,1
HIDODD,high,256,1
HIDODD,high,261,1
HIDODD,high,321,2
HIDODD,high,322,1
HIDODD,high,325,5
HIDODD,high,326,17
HIDODD,high,327,35
HIDODD,high,329,35
HIDODD,high,330,41
HIDODD,high,331,43
HIDODD,high,332,28
HIDODD,high,334,10
HIDODD,high,335,6
HIDODD,high,336,1
HIDODD,high,338,1
HIDODD,high,339,8
HIDODD,high,340,1
HIDODD,high,342,2
HISHRU,high,242,2
HISHRU,high,244,2
HISHRU,high,246,1
HISHRU,high,249,3
HISHRU,high,250,1
HISHRU,high,252,1
HISHRU,high,254,1
HISHRU,high,255,2
HISHRU,high,256,4
HISHRU,high,259,3
HISHRU,high,261,6
HISHRU,high,320,2
HISHRU,high,321,4
HISHRU,high,322,9
HISHRU,high,323,29
HISHRU,high,325,30
HISHRU,high,326,35
HISHRU,high,327,32
HISHRU,high,329,30
HISHRU,high,330,23
HISHRU,high,331,9
HISHRU,high,332,3
HISHRU,high,334,6
HISHRU,high,335,3
HISHRU,high,336,3
HISHRU,high,338,4
HISHRU,high,339,8
HISHRU,high,340,4
HISHRU,high,342,3
HISHRU,high,343,5
HISHRU,high,344,2
HISHRU,high,346,1
HISHRU,high,347,1
HISHRU,high,348,2
HISQUE,high,226,1
HISQUE,high,228,4
HISQUE,high,229,5
HISQUE,high,230,6
HISQUE,high,231,7
HISQUE,high,232,6
HISQUE,high,234,3
HISQUE,high,235,9
HISQUE,high,236,8
HISQUE,high,238,9
HISQUE,high,239,11
HISQUE,high,240,6
HISQUE,high,241,11
HISQUE,high,242,10
HISQUE,high,244,9
HISQUE,high,245,7
HISQUE,high,246,10
HISQUE,high,248,4
HISQUE,high,249,9
HISQUE,high,250,4
HISQUE,high,251,2
HISQUE,high,252,2
HISQUE,high,255,1
HISQUE,high,321,1
HISQUE,high,322,2
HISQUE,high,323,3
HISQUE,high,325,9
HISQUE,high,326,9
HISQUE,high,327,18
HISQUE,high,329,9
HISQUE,high,330,19
HISQUE,high,331,8
HISQUE,high,332,10
HISQUE,high,334,8
HISQUE,high,335,5
HISQUE,high,336,8
HISQUE,high,338,7
HISQUE,high,339,1
HISQUE,high,340,1
HISQUE,high,342,2
HISQUE,high,343,1
HISQUE,high,346,2
HISQUE,high,347,2
HISQUE,high,349,1
HITEDD,high,231,1
HITEDD,high,232,2
HITEDD,high,235,1
HITEDD,high,236,1
HITEDD,high,238,2
HITEDD,high,239,1
HITEDD,high,240,3
HITEDD,high,241,1
HITEDD,high,244,2
HITEDD,high,246,2
HITEDD,high,248,1
HITEDD,high,249,1
HITEDD,high,251,4
HITEDD,high,252,5
HITEDD,high,254,1
HITEDD,high,255,1
HITEDD,high,256,4
HITEDD,high,258,1
HITEDD,high,259,1
HITEDD,high,261,2
HITEDD,high,323,1
HITEDD,high,325,1
HITEDD,high,326,7
HITEDD,high,327,13
HITEDD,high,329,20
HITEDD,high,330,30
HITEDD,high,331,21
HITEDD,high,332,42
HITEDD,high,334,34
HITEDD,high,335,25
HITEDD,high,336,9
HITEDD,high,338,11
HITEDD,high,339,5
HITEDD,high,340,4
HITEDD,high,342,1
HITEDD,high,343,2
HITEDD,high,344,1
HITEDD,high,346,2
HITEDD,high,347,1
HITEDD,high,348,2
HITEDD,high,349,1
HITEDD,high,351,2
HITEDD,high,352,1
HITEDD,high,356,1
HIWALK,high,225,2
HIWALK,high,226,1
HIWALK,high,228,2
HIWALK,high,229,2
HIWALK,high,230,2
HIWALK,high,231,6
HIWALK,high,232,6
HIWALK,high,234,8
HIWALK,high,235,17
HIWALK,high,236,19
HIWALK,high,238,23
HIWALK,high,239,25
HIWALK,high,240,22
HIWALK,high,241,13
HIWALK,high,242,11
HIWALK,high,244,8
HIWALK,high,245,9
HIWALK,high,246,4
HIWALK,high,248,3
HIWALK,high,249,3
HIWALK,high,250,5
HIWALK,high,251,1
HIWALK,high,252,1
HIWALK,high,254,2
HIWALK,high,255,2
HIWALK,high,256,2
HIWALK,high,327,3
HIWALK,high,329,2
HIWALK,high,330,10
HIWALK,high,331,3
HIWALK,high,332,8
HIWALK,high,334,8
HIWALK,high,335,6
HIWALK,high,336,4
HIWALK,high,338,7
HIWALK,high,339,5
HIWALK,high,340,3
HIWALK,high,342,4
HIWALK,high,343,2
HIWALK,high,344,2
HIWALK,high,346,2
HIWALK,high,347,3
HIWALK,high,348,1
HIWALK,high,351,1
MIXBUS,mod,116,2
MIXBUS,mod,118,2
MIXBUS,mod,119,2
MIXBUS,mod,120,1
MIXBUS,mod,121,2
MIXBUS,mod,122,1
MIXBUS,mod,124,1
MIXBUS,mod,129,1
MIXBUS,mod,130,1
MIXBUS,mod,131,1
MIXBUS,mod,132,2
MIXBUS,mod,133,3
MIXBUS,mod,134,2
MIXBUS,mod,135,3
MIXBUS,mod,136,2
MIXBUS,mod,139,3
MIXBUS,mod,140,3
MIXBUS,mod,141,5
MIXBUS,mod,142,4
MIXBUS,mod,143,9
MIXBUS,mod,144,10
MIXBUS,mod,145,11
MIXBUS,mod,146,12
MIXBUS,mod,147,13
MIXBUS,mod,148,17
MIXBUS,mod,149,15
MIXBUS,mod,150,11
MIXBUS,mod,151,20
MIXBUS,mod,152,9
MIXBUS,mod,153,15
MIXBUS,mod,154,10
MIXBUS,mod,155,7
MIXBUS,mod,156,12
MIXBUS,mod,157,3
MIXBUS,mod,158,10
MIXBUS,mod,159,2
MIXBUS,mod,160,2
MIXBUS,mod,161,1
MIXBUS,mod,162,3
MIXBUS,mod,163,3
MIXBUS,mod,168,1
MIXBUS,mod,235,2
MIXBUS,mod,238,5
MIXBUS,mod,239,2
MIXBUS,mod,241,4
MIXBUS,mod,242,4
MIXBUS,mod,244,2
MIXBUS,mod,245,3
MIXBUS,mod,246,1
MIXBUS,mod,249,3
MIXBUS,mod,251,2
MIXBUS,mod,254,2
MIXBUS,mod,259,1
MIXBUS,mod,342,1
MIXBUS,mod,343,1
MIXBUS,mod,344,1
MIXBUS,mod,347,2
MIXBUT,mod,100,1
MIXBUT,mod,123,1
MIXBUT,mod,131,2
MIXBUT,mod,134,3
MIXBUT,mod,135,4
MIXBUT,mod,136,5
MIXBUT,mod,137,4
MIXBUT,mod,138,7
MIXBUT,mod,139,8
MIXBUT,mod,140,5
MIXBUT,mod,141,9
MIXBUT,mod,142,9
MIXBUT,mod,143,11
MIXBUT,mod,144,6
MIXBUT,mod,145,9
MIXBUT,mod,146,8
MIXBUT,mod,147,4
MIXBUT,mod,148,6
MIXBUT,mod,149,7
MIXBUT,mod,150,9
MIXBUT,mod,151,8
MIXBUT,mod,152,8
MIXBUT,mod,153,4
MIXBUT,mod,154,5
MIXBUT,mod,155,4
MIXBUT,mod,156,3
MIXBUT,mod,157,3
MIXBUT,mod,158,3
MIXBUT,mod,159,2
MIXBUT,mod,160,3
MIXBUT,mod,234,1
MIXBUT,mod,235,4
MIXBUT,mod,238,2
MIXBUT,mod,239,2
MIXBUT,mod,240,7
MIXBUT,mod,241,2
MIXBUT,mod,242,4
MIXBUT,mod,244,5
MIXBUT,mod,245,6
MIXBUT,mod,246,7
MIXBUT,mod,248,8
MIXBUT,mod,249,9
MIXBUT,mod,251,4
MIXBUT,mod,252,2
MIXBUT,mod,254,1
MIXBUT,mod,255,1
MIXBUT,mod,327,2
MIXBUT,mod,330,3
MIXBUT,mod,331,5
MIXBUT,mod,332,6
MIXBUT,mod,334,2
MIXBUT,mod,335,6
MIXBUT,mod,336,5
MIXBUT,mod,338,7
MIXBUT,mod,339,4
MIXBUT,mod,340,2
MIXBUT,mod,342,5
MIXBUT,mod,343,1
MIXBUT,mod,344,2
MIXBUT,mod,347,1
MIXBUT,mod,352,1
MIXDP2,mod,100,4
MIXDP2,mod,110,1
MIXDP2,mod,115,1
MIXDP2,mod,121,1
MIXDP2,mod,122,1
MIXDP2,mod,124,1
MIXDP2,mod,125,4
MIXDP2,mod,126,2
MIXDP2,mod,128,1
MIXDP2,mod,129,2
MIXDP2,mod,130,1
MIXDP2,mod,131,5
MIXDP2,mod,132,6
MIXDP2,mod,133,3
MIXDP2,mod,134,6
MIXDP2,mod,135,3
MIXDP2,mod,136,10
MIXDP2,mod,137,10
MIXDP2,mod,138,12
MIXDP2,mod,139,7
MIXDP2,mod,140,7
MIXDP2,mod,141,6
MIXDP2,mod,142,12
MIXDP2,mod,143,12
MIXDP2,mod,144,12
MIXDP2,mod,145,13
MIXDP2,mod,146,6
MIXDP2,mod,147,14
MIXDP2,mod,148,6
MIXDP2,mod,149,9
MIXDP2,mod,150,7
MIXDP2,mod,151,4
MIXDP2,mod,152,4
MIXDP2,mod,153,4
MIXDP2,mod,154,1
MIXDP2,mod,155,3
MIXDP2,mod,156,4
MIXDP2,mod,157,3
MIXDP2,mod,158,1
MIXDP2,mod,160,2
MIXDP2,mod,161,3
MIXDP2,mod,162,1
MIXDP2,mod,163,2
MIXDP2,mod,166,1
MIXDP2,mod,222,1
MIXDP2,mod,228,1
MIXDP2,mod,230,5
MIXDP2,mod,231,2
MIXDP2,mod,232,3
MIXDP2,mod,234,4
MIXDP2,mod,235,9
MIXDP2,mod,236,12
MIXDP2,mod,238,13
MIXDP2,mod,239,17
MIXDP2,mod,240,22
MIXDP2,mod,241,25
MIXDP2,mod,242,28
MIXDP2,mod,244,27
MIXDP2,mod,245,15
MIXDP2,mod,246,12
MIXDP2,mod,248,13
MIXDP2,mod,249,4
MIXDP2,mod,250,12
MIXDP2,mod,251,3
MIXDP2,mod,252,2
MIXDP2,mod,254,3
MIXDP2,mod,258,1
MIXDP2,mod,260,1
MIXDP2,mod,327,5
MIXDP2,mod,329,5
MIXDP2,mod,330,7
MIXDP2,mod,331,8
MIXDP2,mod,332,11
MIXDP2,mod,334,10
MIXDP2,mod,335,20
MIXDP2,mod,336,15
MIXDP2,mod,338,22
MIXDP2,mod,339,21
MIXDP2,mod,340,23
MIXDP2,mod,342,18
MIXDP2,mod,343,8
MIXDP2,mod,344,8
MIXDP2,mod,346,8
MIXDP2,mod,347,13
MIXDP2,mod,348,5
MIXDP2,mod,349,6
MIXDP2,mod,351,1
MIXDP2,mod,353,2
MIXDP2,mod,355,2
MIXDP2,mod,356,1
MIXMID,mod,100,4
MIXMID,mod,119,1
MIXMID,mod,123,1
MIXMID,mod,124,1
MIXMID,mod,125,2
MIXMID,mod,126,1
MIXMID,mod,130,2
MIXMID,mod,131,3
MIXMID,mod,132,4
MIXMID,mod,133,2
MIXMID,mod,134,2
MIXMID,mod,135,1
MIXMID,mod,136,5
MIXMID,mod,137,4
MIXMID,mod,138,5
MIXMID,mod,139,5
MIXMID,mod,140,10
MIXMID,mod,141,14
MIXMID,mod,142,14
MIXMID,mod,143,9
MIXMID,mod,144,15
MIXMID,mod,145,25
MIXMID,mod,146,17
MIXMID,mod,147,23
MIXMID,mod,148,21
MIXMID,mod,149,14
MIXMID,mod,150,7
MIXMID,mod,151,4
MIXMID,mod,152,4
MIXMID,mod,153,2
MIXMID,mod,154,1
MIXMID,mod,160,1
MIXMID,mod,229,1
MIXMID,mod,235,1
MIXMID,mod,236,1
MIXMID,mod,238,1
MIXMID,mod,240,3
MIXMID,mod,241,1
MIXMID,mod,242,1
MIXMID,mod,246,9
MIXMID,mod,248,4
MIXMID,mod,249,1
MIXMID,mod,250,1
MIXMID,mod,251,2
MIXMID,mod,252,1
MIXMID,mod,255,1
MIXMID,mod,327,2
MIXMID,mod,331,1
MIXMID,mod,332,3
MIXMID,mod,334,5
MIXMID,mod,335,2
MIXMID,mod,336,5
MIXMID,mod,338,2
MIXMID,mod,339,1
MIXMID,mod,340,1
MIXMID,mod,342,2
MIXMID,mod,344,1
MIXMID,mod,348,1
MIXMIX,mod,131,1
MIXMIX,mod,133,2
MIXMIX,mod,134,1
MIXMIX,mod,135,2
MIXMIX,mod,137,1
MIXMIX,mod,138,4
MIXMIX,mod,139,2
MIXMIX,mod,140,6
MIXMIX,mod,141,2
MIXMIX,mod,142,3
MIXMIX,mod,143,2
MIXMIX,mod,144,4
MIXMIX,mod,145,8
MIXMIX,mod,146,9
MIXMIX,mod,147,7
MIXMIX,mod,148,18
MIXMIX,mod,149,19
MIXMIX,mod,150,18
MIXMIX,mod,151,23
MIXMIX,mod,152,29
MIXMIX,mod,153,28
MIXMIX,mod,154,13
